system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,x_idx,y_idx,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt
102_0,0.7284256,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,8,43_1,0.2998,-0.3132785,0.2,4207.206413254919,15.997086,1785.9353031516075,0.0,439.0,3.0418968,33.83430242000003,43,1,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.28856868785579,6.874895880165546,POINT (122.28856868785579 6.874895880165546)
102_1,0.7825451,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,18,43_1,0.2998,-0.3495755,0.24,4318.705143616712,2.766232,1785.9353031516075,0.0,446.0,0.8838701,32.79864236000003,43,1,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.874895880165546,POINT (122.29081447606609 6.874895880165546)
102_2,0.67515486,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,15,43_1,0.2998,-0.19313726,0.225,4079.4726553262494,2.034718,1785.9353031516075,0.0,708.0,2.1659644,33.29083724000003,43,1,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.872650091955251,POINT (122.29081447606609 6.872650091955251)
159_0,0.50013113,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,8,41_2,0.6736000000000001,-0.015805364,0.29000002,4326.190750701193,0.280649,1785.9353031516075,0.0,953.0,1.1645974,36.86950418000004,41,2,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.27509395859397,6.8838790330067425,POINT (122.27509395859397 6.8838790330067425)
160_0,0.67642236,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,7,42_2,0.5961500000000001,-0.22059324,0.235,3920.27014691254,4.382635,1785.9353031516075,0.0,691.0,1.8338228,35.76548372000002,42,2,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.27958553501458,6.881633244796447,POINT (122.27958553501458 6.881633244796447)
161_0,0.7935162,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,9,43_2,0.4153,-0.39623374,0.26999998,4599.093810359323,7.788055,1785.9353031516075,0.0,414.0,3.970851,33.48224635999998,43,2,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.8838790330067425,POINT (122.29081447606609 6.8838790330067425)
161_1,0.7922597,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,13,43_2,0.7059000000000001,-0.3973136,0.26999998,4771.580000854285,25.35712,1785.9353031516075,0.0,416.0,1.9844247,34.16243234000001,43,2,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.881633244796447,POINT (122.29081447606609 6.881633244796447)
161_2,0.78386766,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,9,43_2,0.7059000000000001,-0.36769077,0.33,4741.997700861105,0.70162654,1785.9353031516075,0.0,418.0,1.2000818,34.21712065999998,43,2,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.879387456586144,POINT (122.29081447606609 6.879387456586144)
218_0,0.6605505,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,9,41_3,0.6736000000000001,-0.17432132,0.265,4895.896276377511,11.957602,1785.9353031516075,0.0,703.0,0.51922554,33.266911100000016,41,3,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.27509395859397,6.890616397637636,POINT (122.27509395859397 6.890616397637636)
220_0,0.7396777,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,18,43_3,0.7318,-0.31144428,0.225,4045.537218144957,15.201908,1785.9353031516075,0.0,517.0,6.5535035,33.762523999999985,43,3,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.28856868785579,6.888370609427341,POINT (122.28856868785579 6.888370609427341)
220_1,0.59322035,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,11,43_3,0.4153,-0.37146828,0.19,4373.728921399796,16.017334,1785.9353031516075,0.0,756.0,5.2454486,33.348943580000025,43,3,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.886124821217038,POINT (122.29081447606609 6.886124821217038)
256_0,0.17714421,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,7,20_4,0.25015,0.032074545,17.939999,4950.596368932583,268.01886,1415.0246028974652,1814.982105036383,1724.5,0.6772973,45.99219956000002,20,4,0,0,0,0,0,0,0,0,0,0,ZONE III,0.1587301587301587,126.0,0.5533505445085524,122.08195617250828,6.901845338689135,POINT (122.08195617250828 6.901845338689135)
256_1,0.12203512,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,6,20_4,0.25015,-0.05552717,17.939999,4959.959650249572,41.796772,1415.0246028974652,1755.445032770509,2424.5,0.4812907,41.0087264,20,4,0,0,0,0,0,0,0,0,0,0,RIO HONDO,0.4433249370277078,1985.0,0.3583313169038778,122.08420196071859,6.901845338689135,POINT (122.08420196071859 6.901845338689135)
256_2,0.25396162,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,3,20_4,0.3136,-0.2821661,7.91,4716.564592919173,35.058254,1415.0246028974652,1601.8356759343,1789.0,0.7456211,39.21084788000002,20,4,0,0,0,0,0,0,0,0,0,0,RIO HONDO,0.4433249370277078,1985.0,0.3583313169038778,122.08644774892889,6.901845338689135,POINT (122.08644774892889 6.901845338689135)
257_0,0.33631864,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1,21_4,0.3136,-0.17027864,7.91,4529.478917545561,187.48814,1415.0246028974652,1721.4545714869962,704.0,0.4201214,38.74599716,21,4,0,0,0,0,0,0,0,0,0,0,RIO HONDO,0.4433249370277078,1985.0,0.3583313169038778,122.08869353713919,6.901845338689135,POINT (122.08869353713919 6.901845338689135)
257_1,0.22521552,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,6,21_4,0.3136,-0.41726395,4.87,4377.312511206772,119.31949,1415.0246028974652,1924.805091168775,719.0,0.2607545,38.97500450000001,21,4,0,0,0,0,0,0,0,0,0,0,KASANYANGAN,0.4436644436644437,5698.0,1.3350999722005799,122.0909393253495,6.901845338689135,POINT (122.0909393253495 6.901845338689135)
257_2,0.008463343,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,3,21_4,0.3205,0.08221975,4.87,4307.812295507227,159.95454,1415.0246028974652,1806.058957502305,2431.0,0.71018517,38.62978448000001,21,4,0,0,0,0,0,0,0,0,0,0,KASANYANGAN,0.4436644436644437,5698.0,1.3350999722005799,122.0931851135598,6.901845338689135,POINT (122.0931851135598 6.901845338689135)
257_3,0.10203313,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,0,21_4,0.3205,0.09282504,3.56,4222.999149569927,149.60614,1415.0246028974652,1561.4111450236994,2385.0,0.11678233,40.07218892000003,21,4,0,0,0,0,0,0,0,0,0,0,KASANYANGAN,0.4436644436644437,5698.0,1.3350999722005799,122.0954309017701,6.901845338689135,POINT (122.0954309017701 6.901845338689135)
258_0,0.44846627,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1,22_4,0.3205,-0.26935485,3.56,4128.166967763563,21.380386,1415.0246028974652,1314.5108012934186,899.0,0.0,38.04530306000004,22,4,0,0,0,0,0,0,0,0,0,0,KASANYANGAN,0.4436644436644437,5698.0,1.3350999722005799,122.0976766899804,6.901845338689135,POINT (122.0976766899804 6.901845338689135)
258_1,0.557783,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,0,22_4,0.3205,-0.46371192,2.165,4242.207647048045,10.852318,1415.0246028974652,1214.7786444968733,375.0,0.11678233,36.60289862000002,22,4,0,0,0,0,0,0,0,0,0,0,MARIKI,0.3720754716981132,1325.0,1.2566857089542494,122.0999224781907,6.901845338689135,POINT (122.0999224781907 6.901845338689135)
258_2,0.56341463,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,2,22_4,0.34355,-0.47866204,1.73,4285.022857184278,3.8585744,1561.1901392638683,1247.007083518814,358.0,0.3503431,36.82506992000003,22,4,0,0,0,0,0,0,0,0,0,0,MARIKI,0.3720754716981132,1325.0,1.2566857089542494,122.10216826640101,6.901845338689135,POINT (122.10216826640101 6.901845338689135)
258_3,0.7548701,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,3,22_4,0.34355,-0.48387095,1.73,4244.406174078559,0.108686,1561.1901392638683,1199.8683542625536,302.0,0.16455771,36.69176714000002,22,4,0,0,0,0,0,0,0,0,0,0,MARIKI,0.3720754716981132,1325.0,1.2566857089542494,122.10441405461131,6.901845338689135,POINT (122.10441405461131 6.901845338689135)
