system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,cell_id,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt
15_0,0.67535174,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0015,8,grid_15,0.7789,-0.15522817,0.25,4326.190750701193,0.280649,2322.415634125471,0.0,623.0,1.1645974,-68.85669045999998,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.27509395859397,6.8838790330067425,POINT (122.27509395859397 6.8838790330067425)
16_0,0.83441323,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0016,7,grid_16,0.49905,-0.33147535,0.33,3920.27014691254,4.382635,2322.415634125471,0.0,345.0,1.8338228,-88.82476329999997,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.27958553501458,6.881633244796447,POINT (122.27958553501458 6.881633244796447)
17_0,0.8127681,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0017,9,grid_17,0.4081,-0.40449658,0.38,4599.093810359323,7.788055,2322.415634125471,0.0,371.0,3.970851,-123.10408588,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.8838790330067425,POINT (122.29081447606609 6.8838790330067425)
17_1,0.8274745,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0017,13,grid_17,0.63365,-0.42247236,0.38,4771.580000854285,25.35712,2322.415634125471,0.0,346.0,1.9844247,-110.59071465999996,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.881633244796447,POINT (122.29081447606609 6.881633244796447)
17_2,0.815577,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0017,9,grid_17,0.63365,-0.39595434,0.21,4741.997700861105,0.70162654,2322.415634125471,0.0,354.0,1.2000818,-102.10377099999997,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.879387456586144,POINT (122.29081447606609 6.879387456586144)
31_0,0.76028085,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0031,9,grid_31,0.7789,-0.2639539,0.3,4895.896276377511,11.957602,2322.415634125471,0.0,478.0,0.51922554,-60.31164045999998,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.27509395859397,6.890616397637636,POINT (122.27509395859397 6.890616397637636)
33_0,0.7542121,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0033,18,grid_33,0.7511,-0.3036273,0.37,4045.537218144957,15.201908,2322.415634125471,0.0,496.0,6.5535035,-123.14852014,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.28856868785579,6.888370609427341,POINT (122.28856868785579 6.888370609427341)
33_1,0.5893138,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0033,11,grid_33,0.4081,-0.3377425,0.0,4373.728921399796,16.017334,2322.415634125471,0.0,784.0,5.2454486,-123.14852014,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.886124821217038,POINT (122.29081447606609 6.886124821217038)
35_0,0.34572923,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0035,7,grid_35,0.26965,0.039601907,12.74,4950.596368932583,268.01886,1744.5184629708529,1814.982105036383,1126.0,0.6772973,-56.28863091999997,0,0,0,0,0,0,0,0,0,0,ZONE III,0.1587301587301587,126.0,0.5533505445085524,122.08195617250828,6.901845338689135,POINT (122.08195617250828 6.901845338689135)
35_1,0.60230243,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0035,6,grid_35,0.26965,-0.23967612,12.74,4959.959650249572,41.796772,1744.5184629708529,1755.445032770509,380.0,0.4812907,-55.36576551999997,0,0,0,0,0,0,0,0,0,0,RIO HONDO,0.4433249370277078,1985.0,0.3583313169038778,122.08420196071859,6.901845338689135,POINT (122.08420196071859 6.901845338689135)
35_2,0.8183406,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0035,3,grid_35,0.32535,-0.5560538,5.83,4716.564592919173,35.058254,1744.5184629708529,1601.8356759343,208.0,0.7456211,-54.35744961999998,0,0,0,0,0,0,0,0,0,0,RIO HONDO,0.4433249370277078,1985.0,0.3583313169038778,122.08644774892889,6.901845338689135,POINT (122.08644774892889 6.901845338689135)
36_0,0.5829146,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0036,1,grid_36,0.32535,-0.28244275,5.83,4529.478917545561,187.48814,1744.5184629708529,1721.4545714869962,332.0,0.4201214,-55.08890589999999,0,0,0,0,0,0,0,0,0,0,RIO HONDO,0.4433249370277078,1985.0,0.3583313169038778,122.08869353713919,6.901845338689135,POINT (122.08869353713919 6.901845338689135)
