Barangay,No Grade (0-2 YRS OLD),Kinder (3-5 YRS OLD),Elementary (6-11 YRS OLD),High School (12-15 YRS OLD),Senior High (16-17 YEARS OLD),College (18 YRS OLD AND ABOVE)
ARENA BLANCO,972,54,2045,1495,216,314
AYALA,140,25,885,1366,196,387
BALIWASAN,46,10,409,608,106,337
BALUNO,57,15,536,350,46,70
BARANGAY ZONE I POB,4,1,29,81,16,52
BARANGAY ZONE II POB,8,3,69,135,21,64
BARANGAY ZONE III POB,1,0,19,23,2,12
BARANGAY ZONE IV POB,21,6,110,201,23,64
BOALAN,14,3,307,401,35,96
BOLONG,82,27,881,502,103,93
BUENAVISTA,92,8,971,597,118,84
BUNGUIAO,73,11,879,601,74,109
BUSAY SACOL ISLAND,87,3,343,156,23,17
CABALUAY,43,19,425,364,61,63
CABATANGAN,15,4,440,549,67,130
CACAO,3,0,74,90,9,8
CALABASA,22,5,434,250,40,36
CALARIAN,141,41,1000,1128,120,293
CAMINO NUEVO,16,11,317,415,43,95
CAMPO ISLAM,85,18,544,682,143,323
CANELAR,5,2,92,204,25,71
CAPISAN,2,1,138,89,13,24
CAWIT,75,14,681,662,81,146
CULIANAN,12,1,218,383,78,78
CURUAN,50,14,1420,814,194,162
DITA,42,0,275,175,44,41
DIVISORIA,12,5,221,310,49,78
DULIAN UPPER BUNGUIAO,5,5,277,150,21,36
DULIAN UPPER PASONANCA,1,1,105,74,10,7
GUISAO,4,0,155,176,27,45
GUIWAN,10,2,109,177,16,48
KASANYANGAN,1055,101,2970,2454,326,898
LA PAZ,32,18,1142,673,77,108
LABUAN,195,39,1650,1373,184,240
LAMISAHAN,27,1,369,220,53,34
LANDANG GUA,131,27,667,345,64,36
LANDANG LAUM,60,6,304,190,42,17
LANZONES,15,4,266,250,24,47
LAPAKAN,6,1,159,104,30,18
LATUAN CURUAN,13,1,518,265,77,33
LICOMO,59,20,934,603,111,98
LIMAONG,109,22,686,401,60,61
LIMPAPA,67,18,1002,682,74,87
LUBIGAN,78,10,377,306,69,36
LUMAYANG,10,1,199,108,9,13
LUMBANGAN,7,6,399,270,24,39
LUNZURAN,23,1,347,523,49,93
MAASIN,164,8,434,368,64,74
MALAGUTAY,10,1,187,228,23,51
MAMPANG,249,44,1577,1812,220,528
MANALIPA,105,42,630,232,48,15
MANGUSU,44,2,669,582,88,110
MANICAHAN,126,20,1030,799,119,112
MARIKI,128,47,609,536,76,184
MERCEDES,84,27,785,1050,153,287
MUTI,153,6,664,240,45,27
PAMUCUTAN,23,0,540,392,42,60
PANGAPUYAN,35,5,189,106,15,6
PANUBIGAN,59,3,266,152,26,16
PASILMANTA SACOL ISLAND,36,5,369,122,22,14
PASOBOLONG,31,4,250,273,44,76
PASONANCA,20,8,689,938,105,212
PATALON,76,39,1192,865,109,160
PUTIK,6,1,238,440,54,125
QUINIPUT,7,3,321,241,58,46
RECODO,104,34,1429,1711,243,498
RIO HONDO,661,108,868,770,162,321
SALAAN,16,5,519,281,47,39
SAN JOSE CAWACAWA,15,2,50,70,25,26
SAN JOSE GUSU,26,16,289,546,87,240
SAN ROQUE,56,20,1026,1238,169,266
SANGALI,606,109,2419,1846,228,273
SANTA BARBARA,66,16,357,512,85,313
SANTA CATALINA,107,24,599,802,108,297
SANTA MARIA,7,4,260,367,35,86
SANTO NIO,8,1,62,111,11,74
SIBULAO CARUAN,18,5,738,412,69,70
SINUBUNG,39,7,374,299,33,55
SINUNOC,227,59,1859,1468,271,423
TAGASILAY,94,7,461,242,24,33
TAGUITI,53,4,276,151,11,19
TALABAAN,125,8,520,405,61,85
TALISAYAN,24,6,286,255,36,45
TALONTALON,179,16,1623,1606,237,548
TALUKSANGAY,368,27,1145,750,109,119
TETUAN,8,3,298,496,71,137
TICTAPUL,33,11,455,395,45,78
TIGBALABAG,5,3,133,96,17,15
TIGTABON,295,37,1343,677,85,51
TOLOSA,12,3,630,355,72,32
TUGBUNGAN,60,18,1129,1369,170,289
TULUNGATUNG,31,7,520,627,82,138
TUMAGA,37,8,571,929,93,242
TUMALUTAB,99,9,637,208,17,25
TUMITUS,63,10,583,275,27,25
VICTORIA,7,1,173,165,28,34
VITALI,17,5,1210,1106,160,235
ZAMBOWOOD,46,3,449,592,77,132
TOTAL,8895,1446,60327,52483,7599,12607
