Barangay,Single House,Duplex,Multi Residential(three units or more),Commercial/Industrial/Agricultural Building,Institutional Living Quarters,_orig_Barangay
ARENA BLANCO,1704,6,2,0,0,ARENA BLANCO
AYALA,888,56,52,0,0,AYALA
BALIWASAN,396,54,6,0,0,BALIWASAN
BALUNO,349,2,0,0,0,BALUNO
BARANGAY ZONE I POB,38,14,2,0,0,BARANGAY ZONE I (POB.)
BARANGAY ZONE II POB,73,10,3,0,0,BARANGAY ZONE II (POB.)
BARANGAY ZONE III POB,17,0,0,0,0,BARANGAY ZONE III (POB.)
BARANGAY ZONE IV POB,109,12,3,0,0,BARANGAY ZONE IV (POB.)
BOALAN,286,11,1,1,1,BOALAN
BOLONG,585,4,1,0,0,BOLONG
BUENAVISTA,622,7,0,0,0,BUENAVISTA
BUNGUIAO,623,2,0,0,0,BUNGUIAO
BUSAY SACOL ISLAND,216,2,0,0,0,BUSAY (SACOL ISLAND)
CABALUAY,336,3,0,0,0,CABALUAY
CABATANGAN,363,8,2,0,0,CABATANGAN
CACAO,62,1,0,0,0,CACAO
CALABASA,271,1,0,0,0,CALABASA
CALARIAN,827,33,8,0,0,CALARIAN
CAMINO NUEVO,244,23,4,0,0,CAMINO NUEVO
CAMPO ISLAM,508,30,20,0,0,CAMPO ISLAM
CANELAR,98,6,10,0,0,CANELAR
CAPISAN,88,1,0,0,0,CAPISAN
CAWIT,447,34,10,0,0,CAWIT
CULIANAN,259,3,0,0,0,CULIANAN
CURUAN,944,6,1,1,0,CURUAN
DITA,203,1,0,0,0,DITA
DIVISORIA,210,6,0,0,0,DIVISORIA
DULIAN UPPER BUNGUIAO,187,0,0,0,0,DULIAN (UPPER BUNGUIAO)
DULIAN UPPER PASONANCA,62,1,1,0,0,DULIAN (UPPER PASONANCA)
GUISAO,134,4,0,0,0,GUISAO
GUIWAN,103,6,3,1,0,GUIWAN
KASANYANGAN,2463,43,14,0,5,KASANYANGAN
LA PAZ,702,8,4,0,1,LA PAZ
LABUAN,1139,48,0,0,0,LABUAN
LAMISAHAN,245,0,0,0,1,LAMISAHAN
LANDANG GUA,420,2,0,0,0,LANDANG GUA
LANDANG LAUM,200,0,0,0,0,LANDANG LAUM
LANZONES,217,0,0,0,0,LANZONES
LAPAKAN,113,1,0,0,0,LAPAKAN
LATUAN CURUAN,330,1,0,0,0,LATUAN (CURUAN)
LICOMO,601,3,0,1,0,LICOMO
LIMAONG,446,2,0,0,0,LIMAONG
LIMPAPA,648,10,0,0,0,LIMPAPA
LUBIGAN,286,4,0,0,0,LUBIGAN
LUMAYANG,117,3,0,0,0,LUMAYANG
LUMBANGAN,258,3,0,0,0,LUMBANGAN
LUNZURAN,307,15,0,0,0,LUNZURAN
MAASIN,331,16,4,0,0,MAASIN
MALAGUTAY,159,4,0,0,0,MALAGUTAY
MAMPANG,1336,40,12,0,1,MAMPANG
MANALIPA,376,4,0,0,0,MANALIPA
MANGUSU,495,2,0,0,0,MANGUSU
MANICAHAN,722,4,1,1,0,MANICAHAN
MARIKI,489,4,0,0,0,MARIKI
MERCEDES,761,12,2,0,0,MERCEDES
MUTI,367,0,0,0,0,MUTI
PAMUCUTAN,362,2,1,1,0,PAMUCUTAN
PANGAPUYAN,125,2,0,0,0,PANGAPUYAN
PANUBIGAN,162,3,0,0,0,PANUBIGAN
PASILMANTA SACOL ISLAND,220,2,0,0,0,PASILMANTA (SACOL ISLAND)
PASOBOLONG,234,6,0,0,0,PASOBOLONG
PASONANCA,582,26,2,0,0,PASONANCA
PATALON,833,9,0,0,0,PATALON
PUTIK,277,16,2,2,0,PUTIK
QUINIPUT,240,2,0,0,1,QUINIPUT
RECODO,1089,94,112,5,2,RECODO
RIO HONDO,806,36,35,0,2,RIO HONDO
SALAAN,323,3,0,1,0,SALAAN
SAN JOSE CAWACAWA,57,1,0,0,1,SAN JOSE CAWA-CAWA
SAN JOSE GUSU,361,10,14,0,0,SAN JOSE GUSU
SAN ROQUE,823,40,10,0,0,SAN ROQUE
SANGALI,1810,28,14,0,1,SANGALI
SANTA BARBARA,312,56,6,1,1,SANTA BARBARA
SANTA CATALINA,499,77,17,0,1,SANTA CATALINA
SANTA MARIA,217,22,8,0,0,SANTA MARIA
SANTO NINO,58,16,4,1,0,SANTO NIÃ‘O
SIBULAO CARUAN,443,2,0,1,0,SIBULAO (CARUAN)
SINUBUNG,260,3,1,1,0,SINUBUNG
SINUNOC,1169,126,40,0,0,SINUNOC
TAGASILAY,290,1,0,0,0,TAGASILAY
TAGUITI,178,0,0,0,0,TAGUITI
TALABAAN,404,3,0,0,0,TALABAAN
TALISAYAN,214,5,0,0,0,TALISAYAN
TALONTALON,1137,44,6,2,0,TALON-TALON
TALUKSANGAY,853,0,0,0,0,TALUKSANGAY
TETUAN,282,42,4,0,1,TETUAN
TICTAPUL,349,1,2,0,0,TICTAPUL
TIGBALABAG,90,0,0,0,0,TIGBALABAG
TIGTABON,860,5,0,0,0,TIGTABON
TOLOSA,399,5,0,0,0,TOLOSA
TUGBUNGAN,846,44,16,2,3,TUGBUNGAN
TULUNGATUNG,387,31,5,0,0,TULUNGATUNG
TUMAGA,535,34,11,1,2,TUMAGA
TUMALUTAB,334,4,0,0,0,TUMALUTAB
TUMITUS,346,1,0,0,0,TUMITUS
VICTORIA,149,0,0,0,0,VICTORIA
VITALI,897,6,2,1,1,VITALI
ZAMBOWOOD,427,7,0,0,0,ZAMBOWOOD
TOTAL,45019,1391,478,24,25,TOTAL
