Barangay,Single House,Duplex,Multi Residential(three units or more),Commercial/Industrial/Agricultural Building,Institutional Living Quarters
ARENA BLANCO,1704,6,2,0,0
AYALA,888,56,52,0,0
BALIWASAN,396,54,6,0,0
BALUNO,349,2,0,0,0
BARANGAY ZONE I POB,38,14,2,0,0
BARANGAY ZONE II POB,73,10,3,0,0
BARANGAY ZONE III POB,17,0,0,0,0
BARANGAY ZONE IV POB,109,12,3,0,0
BOALAN,286,11,1,1,1
BOLONG,585,4,1,0,0
BUENAVISTA,622,7,0,0,0
BUNGUIAO,623,2,0,0,0
BUSAY SACOL ISLAND,216,2,0,0,0
CABALUAY,336,3,0,0,0
CABATANGAN,363,8,2,0,0
CACAO,62,1,0,0,0
CALABASA,271,1,0,0,0
CALARIAN,827,33,8,0,0
CAMINO NUEVO,244,23,4,0,0
CAMPO ISLAM,508,30,20,0,0
CANELAR,98,6,10,0,0
CAPISAN,88,1,0,0,0
CAWIT,447,34,10,0,0
CULIANAN,259,3,0,0,0
CURUAN,944,6,1,1,0
DITA,203,1,0,0,0
DIVISORIA,210,6,0,0,0
DULIAN UPPER BUNGUIAO,187,0,0,0,0
DULIAN UPPER PASONANCA,62,1,1,0,0
GUISAO,134,4,0,0,0
GUIWAN,103,6,3,1,0
KASANYANGAN,2463,43,14,0,5
LA PAZ,702,8,4,0,1
LABUAN,1139,48,0,0,0
LAMISAHAN,245,0,0,0,1
LANDANG GUA,420,2,0,0,0
LANDANG LAUM,200,0,0,0,0
LANZONES,217,0,0,0,0
LAPAKAN,113,1,0,0,0
LATUAN CURUAN,330,1,0,0,0
LICOMO,601,3,0,1,0
LIMAONG,446,2,0,0,0
LIMPAPA,648,10,0,0,0
LUBIGAN,286,4,0,0,0
LUMAYANG,117,3,0,0,0
LUMBANGAN,258,3,0,0,0
LUNZURAN,307,15,0,0,0
MAASIN,331,16,4,0,0
MALAGUTAY,159,4,0,0,0
MAMPANG,1336,40,12,0,1
MANALIPA,376,4,0,0,0
MANGUSU,495,2,0,0,0
MANICAHAN,722,4,1,1,0
MARIKI,489,4,0,0,0
MERCEDES,761,12,2,0,0
MUTI,367,0,0,0,0
PAMUCUTAN,362,2,1,1,0
PANGAPUYAN,125,2,0,0,0
PANUBIGAN,162,3,0,0,0
PASILMANTA SACOL ISLAND,220,2,0,0,0
PASOBOLONG,234,6,0,0,0
PASONANCA,582,26,2,0,0
PATALON,833,9,0,0,0
PUTIK,277,16,2,2,0
QUINIPUT,240,2,0,0,1
RECODO,1089,94,112,5,2
RIO HONDO,806,36,35,0,2
SALAAN,323,3,0,1,0
SAN JOSE CAWACAWA,57,1,0,0,1
SAN JOSE GUSU,361,10,14,0,0
SAN ROQUE,823,40,10,0,0
SANGALI,1810,28,14,0,1
SANTA BARBARA,312,56,6,1,1
SANTA CATALINA,499,77,17,0,1
SANTA MARIA,217,22,8,0,0
SANTO NIO,58,16,4,1,0
SIBULAO CARUAN,443,2,0,1,0
SINUBUNG,260,3,1,1,0
SINUNOC,1169,126,40,0,0
TAGASILAY,290,1,0,0,0
TAGUITI,178,0,0,0,0
TALABAAN,404,3,0,0,0
TALISAYAN,214,5,0,0,0
TALONTALON,1137,44,6,2,0
TALUKSANGAY,853,0,0,0,0
TETUAN,282,42,4,0,1
TICTAPUL,349,1,2,0,0
TIGBALABAG,90,0,0,0,0
TIGTABON,860,5,0,0,0
TOLOSA,399,5,0,0,0
TUGBUNGAN,846,44,16,2,3
TULUNGATUNG,387,31,5,0,0
TUMAGA,535,34,11,1,2
TUMALUTAB,334,4,0,0,0
TUMITUS,346,1,0,0,0
VICTORIA,149,0,0,0,0
VITALI,897,6,2,1,1
ZAMBOWOOD,427,7,0,0,0
TOTAL,45019,1391,478,24,25
