Barangay,Permanent,Seasonal/ Short Term,Weekly Basis,_orig_Barangay
ARENA BLANCO,251,1330,238,ARENA BLANCO
AYALA,147,965,105,AYALA
BALIWASAN,78,361,95,BALIWASAN
BALUNO,77,363,15,BALUNO
BARANGAY ZONE I POB,2,34,29,BARANGAY ZONE I (POB.)
BARANGAY ZONE II POB,3,51,28,BARANGAY ZONE II (POB.)
BARANGAY ZONE III POB,7,16,1,BARANGAY ZONE III (POB.)
BARANGAY ZONE IV POB,15,47,34,BARANGAY ZONE IV (POB.)
BOALAN,46,241,54,BOALAN
BOLONG,108,486,43,BOLONG
BUENAVISTA,72,588,32,BUENAVISTA
BUNGUIAO,215,454,35,BUNGUIAO
BUSAY SACOL ISLAND,72,157,13,BUSAY (SACOL ISLAND)
CABALUAY,40,298,40,CABALUAY
CABATANGAN,132,271,108,CABATANGAN
CACAO,24,44,2,CACAO
CALABASA,3,288,10,CALABASA
CALARIAN,288,624,185,CALARIAN
CAMINO NUEVO,84,249,75,CAMINO NUEVO
CAMPO ISLAM,67,451,99,CAMPO ISLAM
CANELAR,49,97,29,CANELAR
CAPISAN,23,73,35,CAPISAN
CAWIT,70,438,165,CAWIT
CULIANAN,35,243,23,CULIANAN
CURUAN,26,960,67,CURUAN
DITA,7,202,17,DITA
DIVISORIA,57,185,30,DIVISORIA
DULIAN UPPER BUNGUIAO,62,130,7,DULIAN (UPPER BUNGUIAO)
DULIAN UPPER PASONANCA,25,52,14,DULIAN (UPPER PASONANCA)
GUISAO,20,126,19,GUISAO
GUIWAN,27,69,36,GUIWAN
KASANYANGAN,425,1587,849,KASANYANGAN
LA PAZ,89,780,118,LA PAZ
LABUAN,358,1004,81,LABUAN
LAMISAHAN,5,232,22,LAMISAHAN
LANDANG GUA,60,374,58,LANDANG GUA
LANDANG LAUM,51,147,18,LANDANG LAUM
LANZONES,12,197,39,LANZONES
LAPAKAN,2,114,11,LAPAKAN
LATUAN CURUAN,13,338,12,LATUAN (CURUAN)
LICOMO,68,579,35,LICOMO
LIMAONG,18,444,13,LIMAONG
LIMPAPA,184,579,32,LIMPAPA
LUBIGAN,4,286,35,LUBIGAN
LUMAYANG,28,108,15,LUMAYANG
LUMBANGAN,44,239,23,LUMBANGAN
LUNZURAN,84,258,67,LUNZURAN
MAASIN,40,351,112,MAASIN
MALAGUTAY,55,131,49,MALAGUTAY
MAMPANG,300,984,403,MAMPANG
MANALIPA,72,290,58,MANALIPA
MANGUSU,11,489,21,MANGUSU
MANICAHAN,228,550,59,MANICAHAN
MARIKI,152,295,98,MARIKI
MERCEDES,128,693,108,MERCEDES
MUTI,8,405,11,MUTI
PAMUCUTAN,70,418,8,PAMUCUTAN
PANGAPUYAN,28,91,11,PANGAPUYAN
PANUBIGAN,7,168,22,PANUBIGAN
PASILMANTA SACOL ISLAND,28,176,22,PASILMANTA (SACOL ISLAND)
PASOBOLONG,72,165,30,PASOBOLONG
PASONANCA,218,535,121,PASONANCA
PATALON,35,841,117,PATALON
PUTIK,57,215,86,PUTIK
QUINIPUT,10,251,17,QUINIPUT
RECODO,179,1120,230,RECODO
RIO HONDO,77,349,485,RIO HONDO
SALAAN,44,309,35,SALAAN
SAN JOSE CAWACAWA,6,59,8,SAN JOSE CAWA-CAWA
SAN JOSE GUSU,123,252,44,SAN JOSE GUSU
SAN ROQUE,356,625,192,SAN ROQUE
SANGALI,507,1484,137,SANGALI
SANTA BARBARA,76,282,57,SANTA BARBARA
SANTA CATALINA,330,348,60,SANTA CATALINA
SANTA MARIA,105,191,60,SANTA MARIA
SANTO NINO,3,49,28,SANTO NIÃ‘O
SIBULAO CARUAN,15,465,3,SIBULAO (CARUAN)
SINUBUNG,37,299,8,SINUBUNG
SINUNOC,133,1269,255,SINUNOC
TAGASILAY,12,297,5,TAGASILAY
TAGUITI,0,183,1,TAGUITI
TALABAAN,139,271,30,TALABAAN
TALISAYAN,16,203,69,TALISAYAN
TALONTALON,412,881,263,TALON-TALON
TALUKSANGAY,295,620,71,TALUKSANGAY
TETUAN,100,213,90,TETUAN
TICTAPUL,22,341,7,TICTAPUL
TIGBALABAG,0,93,3,TIGBALABAG
TIGTABON,202,647,47,TIGTABON
TOLOSA,179,244,5,TOLOSA
TUGBUNGAN,234,857,151,TUGBUNGAN
TULUNGATUNG,97,409,79,TULUNGATUNG
TUMAGA,192,447,164,TUMAGA
TUMALUTAB,161,191,30,TUMALUTAB
TUMITUS,28,321,10,TUMITUS
VICTORIA,29,126,16,VICTORIA
VITALI,12,943,14,VITALI
ZAMBOWOOD,110,305,87,ZAMBOWOOD
TOTAL,9327,38900,7208,TOTAL
