Barangay,Permanent,Seasonal/ Short Term,Weekly Basis
ARENA BLANCO,251,1330,238
AYALA,147,965,105
BALIWASAN,78,361,95
BALUNO,77,363,15
BARANGAY ZONE I POB,2,34,29
BARANGAY ZONE II POB,3,51,28
BARANGAY ZONE III POB,7,16,1
BARANGAY ZONE IV POB,15,47,34
BOALAN,46,241,54
BOLONG,108,486,43
BUENAVISTA,72,588,32
BUNGUIAO,215,454,35
BUSAY SACOL ISLAND,72,157,13
CABALUAY,40,298,40
CABATANGAN,132,271,108
CACAO,24,44,2
CALABASA,3,288,10
CALARIAN,288,624,185
CAMINO NUEVO,84,249,75
CAMPO ISLAM,67,451,99
CANELAR,49,97,29
CAPISAN,23,73,35
CAWIT,70,438,165
CULIANAN,35,243,23
CURUAN,26,960,67
DITA,7,202,17
DIVISORIA,57,185,30
DULIAN UPPER BUNGUIAO,62,130,7
DULIAN UPPER PASONANCA,25,52,14
GUISAO,20,126,19
GUIWAN,27,69,36
KASANYANGAN,425,1587,849
LA PAZ,89,780,118
LABUAN,358,1004,81
LAMISAHAN,5,232,22
LANDANG GUA,60,374,58
LANDANG LAUM,51,147,18
LANZONES,12,197,39
LAPAKAN,2,114,11
LATUAN CURUAN,13,338,12
LICOMO,68,579,35
LIMAONG,18,444,13
LIMPAPA,184,579,32
LUBIGAN,4,286,35
LUMAYANG,28,108,15
LUMBANGAN,44,239,23
LUNZURAN,84,258,67
MAASIN,40,351,112
MALAGUTAY,55,131,49
MAMPANG,300,984,403
MANALIPA,72,290,58
MANGUSU,11,489,21
MANICAHAN,228,550,59
MARIKI,152,295,98
MERCEDES,128,693,108
MUTI,8,405,11
PAMUCUTAN,70,418,8
PANGAPUYAN,28,91,11
PANUBIGAN,7,168,22
PASILMANTA SACOL ISLAND,28,176,22
PASOBOLONG,72,165,30
PASONANCA,218,535,121
PATALON,35,841,117
PUTIK,57,215,86
QUINIPUT,10,251,17
RECODO,179,1120,230
RIO HONDO,77,349,485
SALAAN,44,309,35
SAN JOSE CAWACAWA,6,59,8
SAN JOSE GUSU,123,252,44
SAN ROQUE,356,625,192
SANGALI,507,1484,137
SANTA BARBARA,76,282,57
SANTA CATALINA,330,348,60
SANTA MARIA,105,191,60
SANTO NIO,3,49,28
SIBULAO CARUAN,15,465,3
SINUBUNG,37,299,8
SINUNOC,133,1269,255
TAGASILAY,12,297,5
TAGUITI,0,183,1
TALABAAN,139,271,30
TALISAYAN,16,203,69
TALONTALON,412,881,263
TALUKSANGAY,295,620,71
TETUAN,100,213,90
TICTAPUL,22,341,7
TIGBALABAG,0,93,3
TIGTABON,202,647,47
TOLOSA,179,244,5
TUGBUNGAN,234,857,151
TULUNGATUNG,97,409,79
TUMAGA,192,447,164
TUMALUTAB,161,191,30
TUMITUS,28,321,10
VICTORIA,29,126,16
VITALI,12,943,14
ZAMBOWOOD,110,305,87
TOTAL,9327,38900,7208
