Barangays,Total Assessed Households,Identified Poor Households,Poverty Magnitude,Unnamed: 4
PANGAPUYAN,190,127,0.6684210526315789,
TIGTABON,1390,865,0.6223021582733813,
MANALIPA,637,380,0.5965463108320251,
TUMALUTAB,613,338,0.5513866231647635,
LANDANG GUA,797,422,0.5294855708908407,
PANUBIGAN,314,165,0.5254777070063694, 
ARENA BLANCO,3267,1713,0.5243342516069789,
TUMITUS,684,347,0.5073099415204678,
PASILMANTA (SACOL ISLAND),439,222,0.5056947608200456,
TAGUITI,358,178,0.4972067039106145,
BALUNO,707,351,0.49646393210749645,
MUTI,757,368,0.4861294583883752,
LIMAONG,934,448,0.4796573875802998,
DITA,429,204,0.4755244755244755,
LUBIGAN,611,290,0.4746317512274959,
LANDANG LAUM,428,200,0.4672897196261682,
LATUAN (CURUAN),718,331,0.4610027855153203,
LIMPAPA,1435,659,0.4592334494773519,
KASANYANGAN,5698,2528,0.4436644436644437,
RIO HONDO,1985,880,0.4433249370277078,
TALUKSANGAY,1930,853,0.4419689119170985,
TOLOSA,916,404,0.4410480349344978,
LICOMO,1388,605,0.43587896253602304,
LA PAZ,1688,715,0.4235781990521327,
SIBULAO (CARUAN),1054,446,0.42314990512333966,
CALABASA,675,272,0.40296296296296297,
CURUAN,2403,953,0.39658759883478983,
PATALON,2127,843,0.39633286318758815,
TICTAPUL,894,352,0.39373601789709173,
BUSAY (SACOL ISLAND),557,218,0.39138240574506283,
LABUAN,3157,1188,0.37630662020905925,
MARIKI,1325,493,0.3720754716981132,
LAMISAHAN,663,246,0.37104072398190047,
BOLONG,1594,591,0.3707653701380176,
SALAAN,890,327,0.36741573033707864,
SANGALI,5103,1854,0.36331569664902996,
SINUBUNG,731,265,0.3625170998632011,
MANGUSU,1371,497,0.362509117432531,
TALABAAN,1133,407,0.3592233009708738,
VITALI,2580,908,0.351937984496124,
SINUNOC,3802,1337,0.35165702261967385,
BUENAVISTA,1823,630,0.3455842018650576,
MANICAHAN,2177,735,0.33762057877813506,
RECODO,3869,1303,0.33677952959421037,
CAMPO ISLAM,1706,559,0.3276670574443142,
TAGASILAY,889,291,0.32733408323959506,
PAMUCUTAN,1133,366,0.323036187113857,
DULIAN (UPPER BUNGUIAO),593,187,0.31534569983136596,
CAWIT,1572,491,0.31234096692111957,
BUNGUIAO,2031,625,0.30773018217626785,
LAPAKAN,372,114,0.3064516129032258,
BARANGAY ZONE IV (POB.),412,124,0.30097087378640774,
BARANGAY ZONE II (POB.),291,86,0.29553264604810997,
CALARIAN,2948,868,0.2944369063772049,
LANZONES,763,217,0.28440366972477066,
CAPISAN,313,89,0.28434504792332266,
MERCEDES,2738,775,0.28305332359386415,
TALON-TALON,4742,1300,0.2741459299873471,
CABALUAY,1251,339,0.2709832134292566,
PASOBOLONG,890,240,0.2696629213483146,
LUMAYANG,446,120,0.26905829596412556,
SAN ROQUE,3486,876,0.2512908777969019,
TULUNGATUNG,1688,424,0.25118483412322273,
TIGBALABAG,359,90,0.25069637883008355,
CAMINO NUEVO,1095,273,0.2493150684931507,
QUINIPUT,984,243,0.24695121951219512,
MAMPANG,5645,1391,0.24641275465013285,
ZAMBOWOOD,1770,435,0.2457627118644068,
MAASIN,1442,351,0.2434119278779473,
AYALA,4193,996,0.23753875506797043,
DULIAN (UPPER PASONANCA),270,64,0.23703703703703705,
LUMBANGAN,1121,262,0.23371989295272078,
CACAO,279,63,0.22580645161290322,
VICTORIA,664,149,0.22439759036144577,
TUGBUNGAN,4354,967,0.22209462563160312,
TUMAGA,2636,583,0.22116843702579667,
PASONANCA,2765,610,0.2206148282097649,
SANTA CATALINA,2725,595,0.21834862385321102,
SAN JOSE CAWA-CAWA,272,59,0.21691176470588236,
SANTA BARBARA,1750,376,0.21485714285714286,
GUISAO,655,138,0.21068702290076335,
CABATANGAN,1850,374,0.20216216216216215,
SAN JOSE GUSU,1906,385,0.20199370409233997,
DIVISORIA,1095,217,0.19817351598173516,
CULIANAN,1336,262,0.19610778443113772,
SANTO NINO,417,80,0.19184652278177458,
BALIWASAN,2474,458,0.185125303152789,
MALAGUTAY,891,163,0.1829405162738496,
SANTA MARIA,1371,248,0.18088986141502553,
CANELAR,634,114,0.17981072555205047,
BARANGAY ZONE I (POB.),305,54,0.17704918032786884,
LUNZURAN,1829,322,0.17605248769819573,
TALISAYAN,1256,219,0.17436305732484075,
BOALAN,1877,300,0.15982951518380395,
BARANGAY ZONE III (POB.),126,20,0.15873015873015872,
PUTIK,2044,298,0.14579256360078277,
TETUAN,2445,330,0.13496932515337423,
GUIWAN,985,113,0.11472081218274112,
TOTAL,150325,47151,0.31366040246133375,
