Barangay,Self-Employed,_orig_Barangay
ARENA BLANCO,1358,ARENA BLANCO
AYALA,412,AYALA
BALIWASAN,336,BALIWASAN
BALUNO,251,BALUNO
BARANGAY ZONE I POB,40,BARANGAY ZONE I (POB.)
BARANGAY ZONE II POB,55,BARANGAY ZONE II (POB.)
BARANGAY ZONE III POB,13,BARANGAY ZONE III (POB.)
BARANGAY ZONE IV POB,60,BARANGAY ZONE IV (POB.)
BOALAN,73,BOALAN
BOLONG,326,BOLONG
BUENAVISTA,280,BUENAVISTA
BUNGUIAO,323,BUNGUIAO
BUSAY SACOL ISLAND,159,BUSAY (SACOL ISLAND)
CABALUAY,165,CABALUAY
CABATANGAN,169,CABATANGAN
CACAO,23,CACAO
CALABASA,102,CALABASA
CALARIAN,485,CALARIAN
CAMINO NUEVO,110,CAMINO NUEVO
CAMPO ISLAM,390,CAMPO ISLAM
CANELAR,60,CANELAR
CAPISAN,72,CAPISAN
CAWIT,246,CAWIT
CULIANAN,73,CULIANAN
CURUAN,392,CURUAN
DITA,134,DITA
DIVISORIA,73,DIVISORIA
DULIAN UPPER BUNGUIAO,107,DULIAN (UPPER BUNGUIAO)
DULIAN UPPER PASONANCA,56,DULIAN (UPPER PASONANCA)
GUISAO,64,GUISAO
GUIWAN,59,GUIWAN
KASANYANGAN,1930,KASANYANGAN
LA PAZ,579,LA PAZ
LABUAN,966,LABUAN
LAMISAHAN,121,LAMISAHAN
LANDANG GUA,359,LANDANG GUA
LANDANG LAUM,162,LANDANG LAUM
LANZONES,133,LANZONES
LAPAKAN,53,LAPAKAN
LATUAN CURUAN,159,LATUAN (CURUAN)
LICOMO,230,LICOMO
LIMAONG,236,LIMAONG
LIMPAPA,441,LIMPAPA
LUBIGAN,138,LUBIGAN
LUMAYANG,65,LUMAYANG
LUMBANGAN,99,LUMBANGAN
LUNZURAN,116,LUNZURAN
MAASIN,215,MAASIN
MALAGUTAY,57,MALAGUTAY
MAMPANG,641,MAMPANG
MANALIPA,336,MANALIPA
MANGUSU,144,MANGUSU
MANICAHAN,511,MANICAHAN
MARIKI,402,MARIKI
MERCEDES,342,MERCEDES
MUTI,240,MUTI
PAMUCUTAN,151,PAMUCUTAN
PANGAPUYAN,117,PANGAPUYAN
PANUBIGAN,126,PANUBIGAN
PASILMANTA SACOL ISLAND,138,PASILMANTA (SACOL ISLAND)
PASOBOLONG,108,PASOBOLONG
PASONANCA,233,PASONANCA
PATALON,551,PATALON
PUTIK,78,PUTIK
QUINIPUT,81,QUINIPUT
RECODO,861,RECODO
RIO HONDO,687,RIO HONDO
SALAAN,202,SALAAN
SAN JOSE CAWACAWA,30,SAN JOSE CAWA-CAWA
SAN JOSE GUSU,270,SAN JOSE GUSU
SAN ROQUE,421,SAN ROQUE
SANGALI,950,SANGALI
SANTA BARBARA,247,SANTA BARBARA
SANTA CATALINA,372,SANTA CATALINA
SANTA MARIA,103,SANTA MARIA
SANTO NINO,35,SANTO NIÃ‘O
SIBULAO CARUAN,138,SIBULAO (CARUAN)
SINUBUNG,124,SINUBUNG
SINUNOC,618,SINUNOC
TAGASILAY,73,TAGASILAY
TAGUITI,102,TAGUITI
TALABAAN,242,TALABAAN
TALISAYAN,74,TALISAYAN
TALONTALON,852,TALON-TALON
TALUKSANGAY,667,TALUKSANGAY
TETUAN,127,TETUAN
TICTAPUL,92,TICTAPUL
TIGBALABAG,27,TIGBALABAG
TIGTABON,684,TIGTABON
TOLOSA,341,TOLOSA
TUGBUNGAN,281,TUGBUNGAN
TULUNGATUNG,154,TULUNGATUNG
TUMAGA,228,TUMAGA
TUMALUTAB,319,TUMALUTAB
TUMITUS,170,TUMITUS
VICTORIA,66,VICTORIA
VITALI,247,VITALI
ZAMBOWOOD,194,ZAMBOWOOD
TOTAL,26722,TOTAL
