Barangay,Self-Employed
ARENA BLANCO,1358
AYALA,412
BALIWASAN,336
BALUNO,251
BARANGAY ZONE I POB,40
BARANGAY ZONE II POB,55
BARANGAY ZONE III POB,13
BARANGAY ZONE IV POB,60
BOALAN,73
BOLONG,326
BUENAVISTA,280
BUNGUIAO,323
BUSAY SACOL ISLAND,159
CABALUAY,165
CABATANGAN,169
CACAO,23
CALABASA,102
CALARIAN,485
CAMINO NUEVO,110
CAMPO ISLAM,390
CANELAR,60
CAPISAN,72
CAWIT,246
CULIANAN,73
CURUAN,392
DITA,134
DIVISORIA,73
DULIAN UPPER BUNGUIAO,107
DULIAN UPPER PASONANCA,56
GUISAO,64
GUIWAN,59
KASANYANGAN,1930
LA PAZ,579
LABUAN,966
LAMISAHAN,121
LANDANG GUA,359
LANDANG LAUM,162
LANZONES,133
LAPAKAN,53
LATUAN CURUAN,159
LICOMO,230
LIMAONG,236
LIMPAPA,441
LUBIGAN,138
LUMAYANG,65
LUMBANGAN,99
LUNZURAN,116
MAASIN,215
MALAGUTAY,57
MAMPANG,641
MANALIPA,336
MANGUSU,144
MANICAHAN,511
MARIKI,402
MERCEDES,342
MUTI,240
PAMUCUTAN,151
PANGAPUYAN,117
PANUBIGAN,126
PASILMANTA SACOL ISLAND,138
PASOBOLONG,108
PASONANCA,233
PATALON,551
PUTIK,78
QUINIPUT,81
RECODO,861
RIO HONDO,687
SALAAN,202
SAN JOSE CAWACAWA,30
SAN JOSE GUSU,270
SAN ROQUE,421
SANGALI,950
SANTA BARBARA,247
SANTA CATALINA,372
SANTA MARIA,103
SANTO NIO,35
SIBULAO CARUAN,138
SINUBUNG,124
SINUNOC,618
TAGASILAY,73
TAGUITI,102
TALABAAN,242
TALISAYAN,74
TALONTALON,852
TALUKSANGAY,667
TETUAN,127
TICTAPUL,92
TIGBALABAG,27
TIGTABON,684
TOLOSA,341
TUGBUNGAN,281
TULUNGATUNG,154
TUMAGA,228
TUMALUTAB,319
TUMITUS,170
VICTORIA,66
VITALI,247
ZAMBOWOOD,194
TOTAL,26722
