Barangay,"Own use, Faucet, Community Water System","Shared Faucet, Community Water System","Own Use, Tubed/Piped Deep Well","Shared, Tubed/Piped Deep Well",Tubed/Piped Shallow Well,Dug Well,Protected Spring,Unprotected Spring,"Lake, River, Rain",Peddler_,Others_
ARENA BLANCO,21,6,0,12,0,2,18,0,4,1648,2
AYALA,64,278,21,234,57,320,1,1,1,18,1
BALIWASAN,81,220,3,23,0,9,0,0,1,117,4
BALUNO,12,120,4,45,4,28,72,18,7,41,0
BARANGAY ZONE I POB,9,33,0,8,0,0,0,0,0,4,0
BARANGAY ZONE II POB,7,55,1,16,0,0,0,0,0,7,0
BARANGAY ZONE III POB,4,3,0,0,0,0,0,0,0,13,0
BARANGAY ZONE IV POB,32,44,1,0,0,0,0,0,0,47,0
BOALAN,28,73,6,42,6,16,1,0,1,121,6
BOLONG,24,53,13,124,6,183,0,2,17,161,8
BUENAVISTA,33,50,8,101,10,308,3,2,30,83,2
BUNGUIAO,26,104,7,68,40,223,29,3,81,40,4
BUSAY SACOL ISLAND,0,0,1,31,0,167,1,0,0,18,0
CABALUAY,30,79,6,38,11,34,1,0,4,136,0
CABATANGAN,40,155,1,46,15,23,5,0,1,74,14
CACAO,4,26,0,1,0,9,0,0,6,17,0
CALABASA,0,11,0,34,1,195,17,2,2,10,0
CALARIAN,49,377,3,63,0,9,1,0,1,314,51
CAMINO NUEVO,26,141,3,17,3,14,0,1,1,57,10
CAMPO ISLAM,60,283,1,26,2,4,1,0,0,182,0
CANELAR,18,54,2,12,0,0,0,0,0,22,6
CAPISAN,7,22,3,6,4,22,12,1,2,8,2
CAWIT,29,113,2,55,3,20,7,1,6,254,1
CULIANAN,35,97,5,37,3,34,0,0,3,48,0
CURUAN,26,91,9,73,7,568,14,18,38,106,3
DITA,5,7,0,22,1,116,2,2,1,47,1
DIVISORIA,21,91,4,50,2,24,3,2,6,14,0
DULIAN UPPER BUNGUIAO,6,37,1,23,13,57,13,1,27,8,1
DULIAN UPPER PASONANCA,5,13,0,6,5,13,9,1,4,7,1
GUISAO,15,28,5,11,5,32,7,1,1,33,0
GUIWAN,30,53,1,11,1,7,1,0,0,9,0
KASANYANGAN,96,728,4,60,2,2,0,1,6,1543,86
LA PAZ,10,14,14,38,25,74,429,13,76,22,0
LABUAN,33,110,76,618,13,168,90,6,7,64,3
LAMISAHAN,13,41,2,50,0,116,2,0,7,14,1
LANDANG GUA,8,4,1,133,1,192,0,0,2,81,0
LANDANG LAUM,2,3,0,33,0,134,0,0,0,28,0
LANZONES,9,84,1,46,1,31,1,1,11,31,1
LAPAKAN,1,17,0,21,0,62,0,0,4,9,0
LATUAN CURUAN,0,28,6,9,7,239,12,9,9,11,1
LICOMO,9,45,4,178,6,197,7,18,57,84,0
LIMAONG,7,17,1,162,11,209,7,2,0,32,0
LIMPAPA,33,113,21,166,15,90,142,36,41,2,0
LUBIGAN,3,8,1,26,1,199,2,0,3,47,0
LUMAYANG,17,34,3,17,3,22,4,0,1,18,1
LUMBANGAN,12,25,4,113,7,58,4,3,2,34,0
LUNZURAN,53,81,20,66,5,20,4,0,14,53,6
MAASIN,11,163,6,70,2,34,0,0,13,50,2
MALAGUTAY,21,43,0,14,1,16,1,0,4,53,10
MAMPANG,43,77,25,269,26,140,6,1,2,779,23
MANALIPA,0,14,0,130,3,200,0,0,3,27,3
MANGUSU,4,20,8,267,13,121,7,12,4,37,4
MANICAHAN,76,315,2,16,10,31,0,0,9,248,28
MARIKI,16,85,0,6,0,1,0,0,1,381,3
MERCEDES,186,321,4,26,3,29,2,0,2,200,2
MUTI,2,90,3,65,2,157,1,1,3,43,1
PAMUCUTAN,2,29,4,41,31,31,203,4,9,10,2
PANGAPUYAN,0,0,0,3,0,20,0,0,2,101,1
PANUBIGAN,3,7,2,48,0,89,1,1,0,13,1
PASILMANTA SACOL ISLAND,3,2,1,72,1,135,0,0,0,7,1
PASOBOLONG,19,129,1,3,0,5,0,0,4,79,0
PASONANCA,84,229,4,39,5,30,34,5,18,100,62
PATALON,44,110,7,247,18,26,263,8,61,56,3
PUTIK,46,102,9,35,2,12,0,0,2,87,3
QUINIPUT,2,99,0,29,5,89,2,3,3,11,0
RECODO,41,150,23,287,25,711,2,1,0,63,0
RIO HONDO,134,418,0,19,1,3,0,0,0,242,63
SALAAN,27,41,5,68,3,110,12,3,9,49,0
SAN JOSE CAWACAWA,4,25,0,3,0,0,1,0,0,25,1
SAN JOSE GUSU,122,113,4,48,1,8,0,1,0,85,3
SAN ROQUE,67,233,14,181,27,142,3,1,21,146,41
SANGALI,87,503,18,206,11,369,0,4,17,600,39
SANTA BARBARA,45,172,2,15,1,4,0,0,1,130,6
SANTA CATALINA,86,183,2,3,0,1,0,0,1,304,15
SANTA MARIA,38,119,0,19,2,7,0,0,0,46,17
SANTO NIO,8,61,1,9,0,0,0,0,0,1,0
SIBULAO CARUAN,8,41,10,215,3,110,27,10,16,5,1
SINUBUNG,1,107,0,21,8,35,79,0,10,4,0
SINUNOC,92,309,16,135,5,39,2,5,71,622,41
TAGASILAY,3,6,2,117,3,154,1,4,0,1,0
TAGUITI,1,4,0,98,14,51,7,1,0,2,0
TALABAAN,26,146,1,48,2,62,2,1,1,118,0
TALISAYAN,3,45,5,95,1,35,1,0,0,34,0
TALONTALON,100,175,22,268,10,136,0,0,5,581,3
TALUKSANGAY,14,238,0,4,1,2,0,0,0,586,8
TETUAN,51,179,5,46,7,13,5,0,0,23,1
TICTAPUL,20,32,1,78,9,85,0,18,31,78,0
TIGBALABAG,2,4,0,29,3,41,7,0,0,3,1
TIGTABON,6,3,0,1,0,2,1,0,0,848,4
TOLOSA,14,49,8,51,21,213,0,0,21,27,0
TUGBUNGAN,116,219,8,32,4,21,1,0,0,543,23
TULUNGATUNG,27,226,3,45,2,24,3,0,62,28,4
TUMAGA,73,366,7,39,1,17,0,0,2,71,7
TUMALUTAB,0,2,1,37,1,288,0,0,0,8,1
TUMITUS,3,7,0,128,4,175,0,0,0,29,1
VICTORIA,30,57,2,24,2,10,0,2,5,17,0
VITALI,15,43,13,311,16,343,14,21,62,65,5
ZAMBOWOOD,66,171,0,15,2,6,1,0,0,174,0
TOTAL,2945,10351,518,7046,608,8633,1611,252,960,13577,650
