iter	Passed	Remaining
0	233	233442
1	434	216585
2	644	214317
3	818	203901
4	995	198167
5	1266	209866
6	1451	205956
7	1648	204384
8	1812	199584
9	1950	193137
10	2144	192786
11	2323	191265
12	2496	189556
13	2678	188654
14	2908	190991
15	3146	193494
16	3449	199489
17	3652	199264
18	3813	196874
19	3975	194808
20	4282	199667
21	4458	198210
22	4637	196979
23	4799	195175
24	4946	192910
25	5177	193947
26	5337	192340
27	5507	191180
28	5708	191125
29	5873	189906
30	6048	189068
31	6276	189856
32	6419	188106
33	6572	186725
34	6722	185351
35	6859	183674
36	7007	182377
37	7189	182002
38	7343	180951
39	7492	179812
40	7639	178687
41	7778	177427
42	7924	176377
43	8086	175701
44	8265	175411
45	8421	174646
46	8573	173831
47	8756	173679
48	8892	172585
49	9036	171691
50	9205	171290
51	9357	170591
52	9500	169749
53	9841	172409
54	10028	172305
55	10166	171370
56	10334	170972
57	10474	170115
58	10620	169387
59	10768	168708
60	10915	168025
61	11052	167211
62	11205	166658
63	11351	166012
64	11507	165532
65	11657	164972
66	11805	164389
67	11939	163643
68	12085	163062
69	12237	162582
70	12414	162433
71	12585	162214
72	12730	161656
73	12889	161287
74	13031	160718
75	13171	160134
76	13350	160033
77	13497	159548
78	13638	158998
79	13794	158642
80	13931	158060
81	14092	157768
82	14258	157527
83	14399	157028
84	14547	156595
85	14688	156109
86	14840	155745
87	14992	155376
88	15129	154862
89	15283	154531
90	15441	154249
91	15589	153863
92	15728	153399
93	15875	153011
94	16094	153322
95	16244	152967
96	16394	152621
97	16541	152246
98	16688	151885
99	16858	151725
100	17007	151384
101	17157	151056
102	17308	150734
103	17453	150372
104	17588	149923
105	17739	149610
106	17896	149364
107	18033	148947
108	18170	148533
109	18331	148320
110	18481	148018
111	18657	147923
112	18813	147676
113	18956	147324
114	19105	147028
115	19236	146595
116	19396	146385
117	19545	146093
118	19699	145842
119	19849	145560
120	20002	145304
121	20143	144963
122	20296	144712
123	20453	144491
124	20596	144173
125	20750	143939
126	20905	143706
127	21047	143386
128	21180	143011
129	21330	142750
130	21487	142540
131	21624	142197
132	21775	141947
133	21933	141748
134	22076	141456
135	22214	141124
136	22378	140966
137	22531	140738
138	22693	140571
139	22827	140225
140	22971	139949
141	23122	139714
142	23279	139512
143	23427	139263
144	23567	138967
145	23709	138683
146	23897	138669
147	24055	138482
148	24220	138333
149	24371	138105
150	24550	138034
151	24693	137761
152	24849	137567
153	25000	137337
154	25156	137143
155	25292	136837
156	25438	136592
157	25575	136293
158	25723	136059
159	25858	135758
160	26004	135512
161	26159	135316
162	26306	135080
163	26456	134865
164	26608	134654
165	26753	134414
166	26926	134311
167	27071	134066
168	27212	133809
169	27354	133553
170	27517	133401
171	27657	133140
172	27815	132967
173	27972	132791
174	28119	132564
175	28242	132225
176	28531	132662
177	29190	134803
178	29566	135610
179	29731	135443
180	29895	135271
181	30055	135082
182	30196	134812
183	30343	134567
184	30496	134349
185	30651	134139
186	30792	133872
187	30955	133702
188	31149	133660
189	31299	133434
190	31450	133210
191	31594	132958
192	31742	132725
193	31892	132502
194	32067	132379
195	32214	132144
196	32370	131945
197	32524	131741
198	32820	132107
199	33087	132350
200	33376	132674
201	33740	133293
202	34153	134090
203	34418	134300
204	34641	134341
205	34883	134455
206	35060	134312
207	35177	133945
208	35358	133820
209	35607	133951
210	35891	134209
211	36186	134503
212	36487	134815
213	36788	135122
214	37023	135180
215	37268	135272
216	37508	135342
217	37822	135673
218	38135	135997
219	38423	136227
220	38749	136587
221	39206	137398
222	39550	137804
223	39750	137707
224	39974	137689
225	40233	137790
226	40407	137599
227	40569	137367
228	40737	137154
229	40899	136925
230	41045	136640
231	41190	136355
232	41304	135967
233	41418	135584
234	41565	135309
235	41702	135002
236	41846	134722
237	42023	134545
238	42219	134430
239	42404	134281
240	42571	134075
241	42738	133866
242	42905	133660
243	43070	133446
244	43263	133322
245	43415	133071
246	43584	132870
247	43751	132666
248	43899	132405
249	44051	132155
250	44213	131937
251	44392	131767
252	44552	131544
253	44718	131338
254	44874	131104
255	45025	130855
256	45180	130618
257	45352	130433
258	45518	130227
259	45689	130039
260	45829	129763
261	45963	129470
262	46111	129218
263	46266	128985
264	46412	128728
265	46556	128468
266	46703	128215
267	46853	127972
268	47012	127755
269	47151	127483
270	47309	127263
271	47451	127003
272	47601	126762
273	47766	126565
274	47932	126367
275	48073	126105
276	48226	125875
277	48363	125605
278	48520	125388
279	48666	125141
280	48821	124920
281	48966	124673
282	49115	124437
283	49260	124192
284	49409	123957
285	49555	123714
286	49704	123482
287	49849	123238
288	49996	123002
289	50150	122783
290	50304	122562
291	50465	122360
292	50605	122109
293	50754	121879
294	50895	121632
295	51033	121376
296	51184	121154
297	51331	120922
298	51471	120672
299	51634	120481
300	51776	120239
301	51914	119988
302	52051	119736
303	52195	119499
304	52353	119297
305	52497	119062
306	52631	118805
307	52781	118586
308	52913	118327
309	53050	118079
310	53182	117822
311	53345	117634
312	53481	117385
313	53621	117148
314	53774	116937
315	53917	116707
316	54075	116509
317	54210	116263
318	54359	116046
319	54541	115900
320	54693	115691
321	54854	115501
322	54996	115272
323	55141	115047
324	55276	114805
325	55420	114581
326	55585	114401
327	55753	114226
328	55913	114036
329	56062	113823
330	56212	113612
331	56359	113397
332	56520	113209
333	56669	112999
334	56825	112802
335	56973	112590
336	57110	112355
337	57240	112109
338	57385	111892
339	57532	111681
340	57666	111443
341	57816	111238
342	57952	111006
343	58088	110774
344	58221	110536
345	58367	110324
346	58502	110091
347	58648	109882
348	58779	109642
349	58933	109447
350	59067	109216
351	59201	108984
352	59348	108776
353	59487	108556
354	59653	108384
355	59786	108153
356	59940	107959
357	60077	107736
358	60204	107495
359	60347	107283
360	60499	107089
361	60652	106896
362	60795	106685
363	60984	106554
364	61155	106394
365	61298	106183
366	61446	105982
367	61608	105806
368	61756	105605
369	61935	105457
370	62079	105250
371	62232	105059
372	62415	104918
