Barangay,No Grade (0-2 YRS OLD),Kinder (3-5 YRS OLD),Elementary (6-11 YRS OLD),High School (12-15 YRS OLD),Senior High (16-17 YEARS OLD),College (18 YRS OLD AND ABOVE),_orig_Barangay
ARENA BLANCO,972,54,2045,1495,216,314,ARENA BLANCO
AYALA,140,25,885,1366,196,387,AYALA
BALIWASAN,46,10,409,608,106,337,BALIWASAN
BALUNO,57,15,536,350,46,70,BALUNO
BARANGAY ZONE I POB,4,1,29,81,16,52,BARANGAY ZONE I (POB.)
BARANGAY ZONE II POB,8,3,69,135,21,64,BARANGAY ZONE II (POB.)
BARANGAY ZONE III POB,1,0,19,23,2,12,BARANGAY ZONE III (POB.)
BARANGAY ZONE IV POB,21,6,110,201,23,64,BARANGAY ZONE IV (POB.)
BOALAN,14,3,307,401,35,96,BOALAN
BOLONG,82,27,881,502,103,93,BOLONG
BUENAVISTA,92,8,971,597,118,84,BUENAVISTA
BUNGUIAO,73,11,879,601,74,109,BUNGUIAO
BUSAY SACOL ISLAND,87,3,343,156,23,17,BUSAY (SACOL ISLAND)
CABALUAY,43,19,425,364,61,63,CABALUAY
CABATANGAN,15,4,440,549,67,130,CABATANGAN
CACAO,3,0,74,90,9,8,CACAO
CALABASA,22,5,434,250,40,36,CALABASA
CALARIAN,141,41,1000,1128,120,293,CALARIAN
CAMINO NUEVO,16,11,317,415,43,95,CAMINO NUEVO
CAMPO ISLAM,85,18,544,682,143,323,CAMPO ISLAM
CANELAR,5,2,92,204,25,71,CANELAR
CAPISAN,2,1,138,89,13,24,CAPISAN
CAWIT,75,14,681,662,81,146,CAWIT
CULIANAN,12,1,218,383,78,78,CULIANAN
CURUAN,50,14,1420,814,194,162,CURUAN
DITA,42,0,275,175,44,41,DITA
DIVISORIA,12,5,221,310,49,78,DIVISORIA
DULIAN UPPER BUNGUIAO,5,5,277,150,21,36,DULIAN (UPPER BUNGUIAO)
DULIAN UPPER PASONANCA,1,1,105,74,10,7,DULIAN (UPPER PASONANCA)
GUISAO,4,0,155,176,27,45,GUISAO
GUIWAN,10,2,109,177,16,48,GUIWAN
KASANYANGAN,1055,101,2970,2454,326,898,KASANYANGAN
LA PAZ,32,18,1142,673,77,108,LA PAZ
LABUAN,195,39,1650,1373,184,240,LABUAN
LAMISAHAN,27,1,369,220,53,34,LAMISAHAN
LANDANG GUA,131,27,667,345,64,36,LANDANG GUA
LANDANG LAUM,60,6,304,190,42,17,LANDANG LAUM
LANZONES,15,4,266,250,24,47,LANZONES
LAPAKAN,6,1,159,104,30,18,LAPAKAN
LATUAN CURUAN,13,1,518,265,77,33,LATUAN (CURUAN)
LICOMO,59,20,934,603,111,98,LICOMO
LIMAONG,109,22,686,401,60,61,LIMAONG
LIMPAPA,67,18,1002,682,74,87,LIMPAPA
LUBIGAN,78,10,377,306,69,36,LUBIGAN
LUMAYANG,10,1,199,108,9,13,LUMAYANG
LUMBANGAN,7,6,399,270,24,39,LUMBANGAN
LUNZURAN,23,1,347,523,49,93,LUNZURAN
MAASIN,164,8,434,368,64,74,MAASIN
MALAGUTAY,10,1,187,228,23,51,MALAGUTAY
MAMPANG,249,44,1577,1812,220,528,MAMPANG
MANALIPA,105,42,630,232,48,15,MANALIPA
MANGUSU,44,2,669,582,88,110,MANGUSU
MANICAHAN,126,20,1030,799,119,112,MANICAHAN
MARIKI,128,47,609,536,76,184,MARIKI
MERCEDES,84,27,785,1050,153,287,MERCEDES
MUTI,153,6,664,240,45,27,MUTI
PAMUCUTAN,23,0,540,392,42,60,PAMUCUTAN
PANGAPUYAN,35,5,189,106,15,6,PANGAPUYAN
PANUBIGAN,59,3,266,152,26,16,PANUBIGAN
PASILMANTA SACOL ISLAND,36,5,369,122,22,14,PASILMANTA (SACOL ISLAND)
PASOBOLONG,31,4,250,273,44,76,PASOBOLONG
PASONANCA,20,8,689,938,105,212,PASONANCA
PATALON,76,39,1192,865,109,160,PATALON
PUTIK,6,1,238,440,54,125,PUTIK
QUINIPUT,7,3,321,241,58,46,QUINIPUT
RECODO,104,34,1429,1711,243,498,RECODO
RIO HONDO,661,108,868,770,162,321,RIO HONDO
SALAAN,16,5,519,281,47,39,SALAAN
SAN JOSE CAWA-CAWA,15,2,50,70,25,26,SAN JOSE CAWA-CAWA
SAN JOSE GUSU,26,16,289,546,87,240,SAN JOSE GUSU
SAN ROQUE,56,20,1026,1238,169,266,SAN ROQUE
SANGALI,606,109,2419,1846,228,273,SANGALI
SANTA BARBARA,66,16,357,512,85,313,SANTA BARBARA
SANTA CATALINA,107,24,599,802,108,297,SANTA CATALINA
SANTA MARIA,7,4,260,367,35,86,SANTA MARIA
SANTO NINO,8,1,62,111,11,74,SANTO NIÃ‘O
SIBULAO CARUAN,18,5,738,412,69,70,SIBULAO (CARUAN)
SINUBUNG,39,7,374,299,33,55,SINUBUNG
SINUNOC,227,59,1859,1468,271,423,SINUNOC
TAGASILAY,94,7,461,242,24,33,TAGASILAY
TAGUITI,53,4,276,151,11,19,TAGUITI
TALABAAN,125,8,520,405,61,85,TALABAAN
TALISAYAN,24,6,286,255,36,45,TALISAYAN
TALON-TALON,179,16,1623,1606,237,548,TALON-TALON
TALUKSANGAY,368,27,1145,750,109,119,TALUKSANGAY
TETUAN,8,3,298,496,71,137,TETUAN
TICTAPUL,33,11,455,395,45,78,TICTAPUL
TIGBALABAG,5,3,133,96,17,15,TIGBALABAG
TIGTABON,295,37,1343,677,85,51,TIGTABON
TOLOSA,12,3,630,355,72,32,TOLOSA
TUGBUNGAN,60,18,1129,1369,170,289,TUGBUNGAN
TULUNGATUNG,31,7,520,627,82,138,TULUNGATUNG
TUMAGA,37,8,571,929,93,242,TUMAGA
TUMALUTAB,99,9,637,208,17,25,TUMALUTAB
TUMITUS,63,10,583,275,27,25,TUMITUS
VICTORIA,7,1,173,165,28,34,VICTORIA
VITALI,17,5,1210,1106,160,235,VITALI
ZAMBOWOOD,46,3,449,592,77,132,ZAMBOWOOD
TOTAL,8895,1446,60327,52483,7599,12607,TOTAL
