Barangay,with access of electricity,no access of electricity,_orig_Barangay
ARENA BLANCO,1460,253,ARENA BLANCO
AYALA,868,128,AYALA
BALIWASAN,405,53,BALIWASAN
BALUNO,220,131,BALUNO
BARANGAY ZONE I POB,48,6,BARANGAY ZONE I (POB.)
BARANGAY ZONE II POB,78,8,BARANGAY ZONE II (POB.)
BARANGAY ZONE III POB,18,2,BARANGAY ZONE III (POB.)
BARANGAY ZONE IV POB,112,12,BARANGAY ZONE IV (POB.)
BOALAN,230,70,BOALAN
BOLONG,410,181,BOLONG
BUENAVISTA,475,155,BUENAVISTA
BUNGUIAO,393,232,BUNGUIAO
BUSAY SACOL ISLAND,139,79,BUSAY (SACOL ISLAND)
CABALUAY,213,126,CABALUAY
CABATANGAN,279,95,CABATANGAN
CACAO,46,17,CACAO
CALABASA,152,120,CALABASA
CALARIAN,705,163,CALARIAN
CAMINO NUEVO,207,66,CAMINO NUEVO
CAMPO ISLAM,426,133,CAMPO ISLAM
CANELAR,96,18,CANELAR
CAPISAN,73,16,CAPISAN
CAWIT,413,78,CAWIT
CULIANAN,185,77,CULIANAN
CURUAN,679,274,CURUAN
DITA,112,92,DITA
DIVISORIA,166,51,DIVISORIA
DULIAN UPPER BUNGUIAO,95,92,DULIAN (UPPER BUNGUIAO)
DULIAN UPPER PASONANCA,49,15,DULIAN (UPPER PASONANCA)
GUISAO,92,46,GUISAO
GUIWAN,101,12,GUIWAN
KASANYANGAN,1987,541,KASANYANGAN
LA PAZ,250,465,LA PAZ
LABUAN,989,199,LABUAN
LAMISAHAN,120,126,LAMISAHAN
LANDANG GUA,246,176,LANDANG GUA
LANDANG LAUM,131,69,LANDANG LAUM
LANZONES,163,54,LANZONES
LAPAKAN,56,58,LAPAKAN
LATUAN CURUAN,181,150,LATUAN (CURUAN)
LICOMO,414,191,LICOMO
LIMAONG,271,177,LIMAONG
LIMPAPA,436,223,LIMPAPA
LUBIGAN,221,69,LUBIGAN
LUMAYANG,91,29,LUMAYANG
LUMBANGAN,172,90,LUMBANGAN
LUNZURAN,240,82,LUNZURAN
MAASIN,273,78,MAASIN
MALAGUTAY,124,39,MALAGUTAY
MAMPANG,1096,295,MAMPANG
MANALIPA,62,318,MANALIPA
MANGUSU,432,65,MANGUSU
MANICAHAN,541,194,MANICAHAN
MARIKI,341,152,MARIKI
MERCEDES,525,250,MERCEDES
MUTI,269,99,MUTI
PAMUCUTAN,259,107,PAMUCUTAN
PANGAPUYAN,55,72,PANGAPUYAN
PANUBIGAN,118,47,PANUBIGAN
PASILMANTA SACOL ISLAND,102,120,PASILMANTA (SACOL ISLAND)
PASOBOLONG,198,42,PASOBOLONG
PASONANCA,468,142,PASONANCA
PATALON,570,273,PATALON
PUTIK,252,46,PUTIK
QUINIPUT,168,75,QUINIPUT
RECODO,1190,113,RECODO
RIO HONDO,495,385,RIO HONDO
SALAAN,202,125,SALAAN
SAN JOSE CAWA-CAWA,46,13,SAN JOSE CAWA-CAWA
SAN JOSE GUSU,330,55,SAN JOSE GUSU
SAN ROQUE,737,139,SAN ROQUE
SANGALI,1369,485,SANGALI
SANTA BARBARA,299,77,SANTA BARBARA
SANTA CATALINA,511,84,SANTA CATALINA
SANTA MARIA,196,52,SANTA MARIA
SANTO NINO,69,11,SANTO NIÃ‘O
SIBULAO CARUAN,308,138,SIBULAO (CARUAN)
SINUBUNG,142,123,SINUBUNG
SINUNOC,958,379,SINUNOC
TAGASILAY,240,51,TAGASILAY
TAGUITI,111,67,TAGUITI
TALABAAN,318,89,TALABAAN
TALISAYAN,152,67,TALISAYAN
TALON-TALON,995,305,TALON-TALON
TALUKSANGAY,707,146,TALUKSANGAY
TETUAN,277,53,TETUAN
TICTAPUL,288,64,TICTAPUL
TIGBALABAG,68,22,TIGBALABAG
TIGTABON,567,298,TIGTABON
TOLOSA,210,194,TOLOSA
TUGBUNGAN,827,140,TUGBUNGAN
TULUNGATUNG,305,119,TULUNGATUNG
TUMAGA,446,137,TUMAGA
TUMALUTAB,106,232,TUMALUTAB
TUMITUS,207,140,TUMITUS
VICTORIA,106,43,VICTORIA
VITALI,681,227,VITALI
ZAMBOWOOD,345,90,ZAMBOWOOD
TOTAL,34574,12577,TOTAL
