Barangay,with access of electricity,no access of electricity
ARENA BLANCO,1460,253
AYALA,868,128
BALIWASAN,405,53
BALUNO,220,131
BARANGAY ZONE I (POB.),48,6
BARANGAY ZONE II (POB.),78,8
BARANGAY ZONE III (POB.),18,2
BARANGAY ZONE IV (POB.),112,12
BOALAN,230,70
BOLONG,410,181
BUENAVISTA,475,155
BUNGUIAO,393,232
BUSAY (SACOL ISLAND),139,79
CABALUAY,213,126
CABATANGAN,279,95
CACAO,46,17
CALABASA,152,120
CALARIAN,705,163
CAMINO NUEVO,207,66
CAMPO ISLAM,426,133
CANELAR,96,18
CAPISAN,73,16
CAWIT,413,78
CULIANAN,185,77
CURUAN,679,274
DITA,112,92
DIVISORIA,166,51
DULIAN (UPPER BUNGUIAO),95,92
DULIAN (UPPER PASONANCA),49,15
GUISAO,92,46
GUIWAN,101,12
KASANYANGAN,1987,541
LA PAZ,250,465
LABUAN,989,199
LAMISAHAN,120,126
LANDANG GUA,246,176
LANDANG LAUM,131,69
LANZONES,163,54
LAPAKAN,56,58
LATUAN (CURUAN),181,150
LICOMO,414,191
LIMAONG,271,177
LIMPAPA,436,223
LUBIGAN,221,69
LUMAYANG,91,29
LUMBANGAN,172,90
LUNZURAN,240,82
MAASIN,273,78
MALAGUTAY,124,39
MAMPANG,1096,295
MANALIPA,62,318
MANGUSU,432,65
MANICAHAN,541,194
MARIKI,341,152
MERCEDES,525,250
MUTI,269,99
PAMUCUTAN,259,107
PANGAPUYAN,55,72
PANUBIGAN,118,47
PASILMANTA (SACOL ISLAND),102,120
PASOBOLONG,198,42
PASONANCA,468,142
PATALON,570,273
PUTIK,252,46
QUINIPUT,168,75
RECODO,1190,113
RIO HONDO,495,385
SALAAN,202,125
SAN JOSE CAWA-CAWA,46,13
SAN JOSE GUSU,330,55
SAN ROQUE,737,139
SANGALI,1369,485
SANTA BARBARA,299,77
SANTA CATALINA,511,84
SANTA MARIA,196,52
SANTO NIÃ‘O,69,11
SIBULAO (CARUAN),308,138
SINUBUNG,142,123
SINUNOC,958,379
TAGASILAY,240,51
TAGUITI,111,67
TALABAAN,318,89
TALISAYAN,152,67
TALON-TALON,995,305
TALUKSANGAY,707,146
TETUAN,277,53
TICTAPUL,288,64
TIGBALABAG,68,22
TIGTABON,567,298
TOLOSA,210,194
TUGBUNGAN,827,140
TULUNGATUNG,305,119
TUMAGA,446,137
TUMALUTAB,106,232
TUMITUS,207,140
VICTORIA,106,43
VITALI,681,227
ZAMBOWOOD,345,90
TOTAL,34574,12577
