Barangays,Total Assessed Households,Identified Poor Households,Poverty Magnitude,Unnamed: 4,_orig_Barangays
PANGAPUYAN,190,127,0.6684210526315789,,PANGAPUYAN
TIGTABON,1390,865,0.6223021582733813,,TIGTABON
MANALIPA,637,380,0.5965463108320251,,MANALIPA
TUMALUTAB,613,338,0.5513866231647635,,TUMALUTAB
LANDANG GUA,797,422,0.5294855708908407,,LANDANG GUA
PANUBIGAN,314,165,0.5254777070063694, ,PANUBIGAN
ARENA BLANCO,3267,1713,0.5243342516069789,,ARENA BLANCO
TUMITUS,684,347,0.5073099415204678,,TUMITUS
PASILMANTA SACOL ISLAND,439,222,0.5056947608200456,,PASILMANTA (SACOL ISLAND)
TAGUITI,358,178,0.4972067039106145,,TAGUITI
BALUNO,707,351,0.4964639321074964,,BALUNO
MUTI,757,368,0.4861294583883752,,MUTI
LIMAONG,934,448,0.4796573875802998,,LIMAONG
DITA,429,204,0.4755244755244755,,DITA
LUBIGAN,611,290,0.4746317512274959,,LUBIGAN
LANDANG LAUM,428,200,0.4672897196261682,,LANDANG LAUM
LATUAN CURUAN,718,331,0.4610027855153203,,LATUAN (CURUAN)
LIMPAPA,1435,659,0.4592334494773519,,LIMPAPA
KASANYANGAN,5698,2528,0.4436644436644437,,KASANYANGAN
RIO HONDO,1985,880,0.4433249370277078,,RIO HONDO
TALUKSANGAY,1930,853,0.4419689119170985,,TALUKSANGAY
TOLOSA,916,404,0.4410480349344978,,TOLOSA
LICOMO,1388,605,0.435878962536023,,LICOMO
LA PAZ,1688,715,0.4235781990521327,,LA PAZ
SIBULAO CARUAN,1054,446,0.4231499051233396,,SIBULAO (CARUAN)
CALABASA,675,272,0.4029629629629629,,CALABASA
CURUAN,2403,953,0.3965875988347898,,CURUAN
PATALON,2127,843,0.3963328631875881,,PATALON
TICTAPUL,894,352,0.3937360178970917,,TICTAPUL
BUSAY SACOL ISLAND,557,218,0.3913824057450628,,BUSAY (SACOL ISLAND)
LABUAN,3157,1188,0.3763066202090592,,LABUAN
MARIKI,1325,493,0.3720754716981132,,MARIKI
LAMISAHAN,663,246,0.3710407239819004,,LAMISAHAN
BOLONG,1594,591,0.3707653701380176,,BOLONG
SALAAN,890,327,0.3674157303370786,,SALAAN
SANGALI,5103,1854,0.3633156966490299,,SANGALI
SINUBUNG,731,265,0.3625170998632011,,SINUBUNG
MANGUSU,1371,497,0.362509117432531,,MANGUSU
TALABAAN,1133,407,0.3592233009708738,,TALABAAN
VITALI,2580,908,0.351937984496124,,VITALI
SINUNOC,3802,1337,0.3516570226196738,,SINUNOC
BUENAVISTA,1823,630,0.3455842018650576,,BUENAVISTA
MANICAHAN,2177,735,0.337620578778135,,MANICAHAN
RECODO,3869,1303,0.3367795295942103,,RECODO
CAMPO ISLAM,1706,559,0.3276670574443142,,CAMPO ISLAM
TAGASILAY,889,291,0.327334083239595,,TAGASILAY
PAMUCUTAN,1133,366,0.323036187113857,,PAMUCUTAN
DULIAN UPPER BUNGUIAO,593,187,0.3153456998313659,,DULIAN (UPPER BUNGUIAO)
CAWIT,1572,491,0.3123409669211195,,CAWIT
BUNGUIAO,2031,625,0.3077301821762678,,BUNGUIAO
LAPAKAN,372,114,0.3064516129032258,,LAPAKAN
BARANGAY ZONE IV POB,412,124,0.3009708737864077,,BARANGAY ZONE IV (POB.)
BARANGAY ZONE II POB,291,86,0.2955326460481099,,BARANGAY ZONE II (POB.)
CALARIAN,2948,868,0.2944369063772049,,CALARIAN
LANZONES,763,217,0.2844036697247706,,LANZONES
CAPISAN,313,89,0.2843450479233226,,CAPISAN
MERCEDES,2738,775,0.2830533235938641,,MERCEDES
TALON-TALON,4742,1300,0.2741459299873471,,TALON-TALON
CABALUAY,1251,339,0.2709832134292566,,CABALUAY
PASOBOLONG,890,240,0.2696629213483146,,PASOBOLONG
LUMAYANG,446,120,0.2690582959641255,,LUMAYANG
SAN ROQUE,3486,876,0.2512908777969019,,SAN ROQUE
TULUNGATUNG,1688,424,0.2511848341232227,,TULUNGATUNG
TIGBALABAG,359,90,0.2506963788300835,,TIGBALABAG
CAMINO NUEVO,1095,273,0.2493150684931507,,CAMINO NUEVO
