Barangays,Total Assessed Individuals,Identified Poor Individuals,Poverty Magnitude,_orig_Barangays
PANGAPUYAN,847,676,0.7981109799291618,PANGAPUYAN
TIGTABON,5946,4534,0.7625294315506222,TIGTABON
MANALIPA,2788,2038,0.7309899569583931,MANALIPA
TUMALUTAB,2760,1977,0.716304347826087,TUMALUTAB
LANDANG GUA,3596,2485,0.6910456062291435,LANDANG GUA
PANUBIGAN,1473,978,0.6639511201629328,PANUBIGAN
ARENA BLANCO,14345,9466,0.6598814918089927,ARENA BLANCO
PASILMANTA SACOL ISLAND,1845,1209,0.6552845528455284,PASILMANTA (SACOL ISLAND)
TUMITUS,3093,2010,0.6498545101842871,TUMITUS
TAGUITI,1560,1002,0.6423076923076924,TAGUITI
LANDANG LAUM,1915,1229,0.64177545691906,LANDANG LAUM
LIMAONG,4094,2556,0.6243282852955545,LIMAONG
BALUNO,3170,1963,0.6192429022082019,BALUNO
DITA,1875,1158,0.6176,DITA
MUTI,3400,2082,0.6123529411764705,MUTI
LUBIGAN,2659,1613,0.6066190297104175,LUBIGAN
KASANYANGAN,25966,15200,0.585380882692752,KASANYANGAN
LICOMO,5907,3424,0.579651261215507,LICOMO
LIMPAPA,6284,3603,0.5733609166136219,LIMPAPA
TALUKSANGAY,8634,4948,0.5730831596015752,TALUKSANGAY
RIO HONDO,9167,5213,0.5686702301734482,RIO HONDO
LATUAN CURUAN,2905,1634,0.5624784853700516,LATUAN (CURUAN)
TOLOSA,3607,1985,0.5503188245079013,TOLOSA
SIBULAO CARUAN,4437,2427,0.5469912102772143,SIBULAO (CARUAN)
MARIKI,5912,3123,0.5282476319350473,MARIKI
CALABASA,2800,1469,0.5246428571428572,CALABASA
BUSAY SACOL ISLAND,2366,1241,0.5245139475908707,BUSAY (SACOL ISLAND)
LA PAZ,7300,3815,0.5226027397260274,LA PAZ
TICTAPUL,3844,2002,0.5208116545265349,TICTAPUL
CURUAN,9828,5037,0.5125152625152625,CURUAN
BOLONG,6318,3207,0.5075973409306742,BOLONG
PATALON,9349,4714,0.504225050807573,PATALON
LABUAN,14077,6985,0.4961994743198125,LABUAN
LAMISAHAN,2577,1267,0.4916569654637175,LAMISAHAN
MANGUSU,5876,2883,0.4906398910823689,MANGUSU
TALABAAN,4777,2323,0.4862884655641616,TALABAAN
SANGALI,21875,10618,0.4853942857142857,SANGALI
SALAAN,3649,1765,0.4836941627843245,SALAAN
VITALI,10311,4974,0.4823974396275822,VITALI
SINUBUNG,3215,1529,0.4755832037325039,SINUBUNG
SINUNOC,16857,7946,0.471376876075221,SINUNOC
RECODO,16852,7869,0.4669475433183005,RECODO
BUENAVISTA,7534,3516,0.4666843642155561,BUENAVISTA
MANICAHAN,8994,4191,0.4659773182121414,MANICAHAN
TAGASILAY,3757,1685,0.448496140537663,TAGASILAY
CAMPO ISLAM,7743,3441,0.4444013948082139,CAMPO ISLAM
LAPAKAN,1349,581,0.4306893995552261,LAPAKAN
PAMUCUTAN,4789,2062,0.4305700563792023,PAMUCUTAN
CAWIT,7331,3145,0.4290001364070386,CAWIT
BARANGAY ZONE IV POB,1914,819,0.4278996865203762,BARANGAY ZONE IV (POB.)
DULIAN UPPER BUNGUIAO,2274,953,0.4190853122251539,DULIAN (UPPER BUNGUIAO)
BUNGUIAO,7825,3270,0.4178913738019169,BUNGUIAO
MERCEDES,11151,4514,0.4048067437897946,MERCEDES
BARANGAY ZONE II POB,1309,528,0.4033613445378151,BARANGAY ZONE II (POB.)
LANZONES,2929,1175,0.401160805735746,LANZONES
CAPISAN,1374,551,0.4010189228529839,CAPISAN
CALARIAN,13482,5390,0.3997923156801661,CALARIAN
TALON-TALON,20701,8043,0.3885319549780204,TALON-TALON
CABALUAY,4883,1889,0.386852344869957,CABALUAY
PASOBOLONG,3477,1316,0.3784872016105838,PASOBOLONG
LUMAYANG,1769,657,0.3713962690785755,LUMAYANG
TIGBALABAG,1447,532,0.3676572218382861,TIGBALABAG
MAMPANG,24817,8775,0.3535882661079099,MAMPANG
DULIAN UPPER PASONANCA,1113,391,0.3513027852650494,DULIAN (UPPER PASONANCA)
SAN ROQUE,15875,5541,0.3490393700787401,SAN ROQUE
CAMINO NUEVO,4861,1694,0.34848796543921,CAMINO NUEVO
TULUNGATUNG,7800,2711,0.3475641025641026,TULUNGATUNG
ZAMBOWOOD,7458,2546,0.3413783856261732,ZAMBOWOOD
QUINIPUT,3702,1261,0.3406266882766072,QUINIPUT
LUMBANGAN,4243,1425,0.335847277869432,LUMBANGAN
AYALA,17192,5737,0.3337017217310377,AYALA
MAASIN,6789,2244,0.3305346884666372,MAASIN
VICTORIA,2596,833,0.3208782742681048,VICTORIA
TUGBUNGAN,18540,5852,0.3156418554476807,TUGBUNGAN
GUISAO,2534,796,0.314127861089187,GUISAO
SAN JOSE CAWA-CAWA,1106,346,0.3128390596745027,SAN JOSE CAWA-CAWA
SANTA CATALINA,12138,3792,0.3124073158675234,SANTA CATALINA
TUMAGA,11835,3682,0.3111111111111111,TUMAGA
SANTA BARBARA,7822,2431,0.3107900792636154,SANTA BARBARA
PASONANCA,12421,3753,0.3021495853795991,PASONANCA
CACAO,1165,350,0.3004291845493562,CACAO
SAN JOSE GUSU,8037,2410,0.2998631330098295,SAN JOSE GUSU
CULIANAN,5119,1501,0.2932213322914632,CULIANAN
DIVISORIA,4595,1330,0.2894450489662676,DIVISORIA
SANTO NINO,1721,495,0.2876234747239977,SANTO NIÃ‘O
BARANGAY ZONE I POB,1183,338,0.2857142857142857,BARANGAY ZONE I (POB.)
CABATANGAN,8102,2299,0.2837570970130832,CABATANGAN
MALAGUTAY,3765,1040,0.2762284196547144,MALAGUTAY
BALIWASAN,10753,2879,0.2677392355621687,BALIWASAN
CANELAR,2835,745,0.2627865961199294,CANELAR
LUNZURAN,7610,1961,0.2576872536136662,LUNZURAN
SANTA MARIA,6004,1537,0.2559960026648901,SANTA MARIA
TALISAYAN,5211,1299,0.2492803684513529,TALISAYAN
BOALAN,7439,1772,0.2382040596854416,BOALAN
BARANGAY ZONE III POB,535,126,0.2355140186915887,BARANGAY ZONE III (POB.)
TETUAN,9402,2048,0.2178259944692618,TETUAN
PUTIK,8148,1746,0.2142857142857142,PUTIK
GUIWAN,3849,674,0.175110418290465,GUIWAN
TOTAL,644403,274795,0.426433458565525,TOTAL
