Barangays,Total Assessed Individuals,Identified Poor Individuals,Poverty Magnitude
PANGAPUYAN,847,676,0.7981109799291618
TIGTABON,5946,4534,0.7625294315506222
MANALIPA,2788,2038,0.7309899569583931
TUMALUTAB,2760,1977,0.716304347826087
LANDANG GUA,3596,2485,0.6910456062291435
PANUBIGAN,1473,978,0.6639511201629328
ARENA BLANCO,14345,9466,0.6598814918089927
PASILMANTA (SACOL ISLAND),1845,1209,0.6552845528455284
TUMITUS,3093,2010,0.6498545101842871
TAGUITI,1560,1002,0.6423076923076924
LANDANG LAUM,1915,1229,0.64177545691906
LIMAONG,4094,2556,0.6243282852955545
BALUNO,3170,1963,0.6192429022082019
DITA,1875,1158,0.6176
MUTI,3400,2082,0.6123529411764705
LUBIGAN,2659,1613,0.6066190297104175
KASANYANGAN,25966,15200,0.585380882692752
LICOMO,5907,3424,0.579651261215507
LIMPAPA,6284,3603,0.5733609166136219
TALUKSANGAY,8634,4948,0.5730831596015752
RIO HONDO,9167,5213,0.5686702301734482
LATUAN (CURUAN),2905,1634,0.5624784853700516
TOLOSA,3607,1985,0.5503188245079013
SIBULAO (CARUAN),4437,2427,0.5469912102772143
MARIKI,5912,3123,0.5282476319350473
CALABASA,2800,1469,0.5246428571428572
BUSAY (SACOL ISLAND),2366,1241,0.5245139475908707
LA PAZ,7300,3815,0.5226027397260274
TICTAPUL,3844,2002,0.5208116545265349
CURUAN,9828,5037,0.5125152625152625
BOLONG,6318,3207,0.5075973409306742
PATALON,9349,4714,0.504225050807573
LABUAN,14077,6985,0.4961994743198125
LAMISAHAN,2577,1267,0.4916569654637175
MANGUSU,5876,2883,0.49063989108236894
TALABAAN,4777,2323,0.4862884655641616
SANGALI,21875,10618,0.4853942857142857
SALAAN,3649,1765,0.4836941627843245
VITALI,10311,4974,0.4823974396275822
SINUBUNG,3215,1529,0.4755832037325039
SINUNOC,16857,7946,0.471376876075221
RECODO,16852,7869,0.4669475433183005
BUENAVISTA,7534,3516,0.46668436421555615
MANICAHAN,8994,4191,0.46597731821214144
TAGASILAY,3757,1685,0.448496140537663
CAMPO ISLAM,7743,3441,0.4444013948082139
LAPAKAN,1349,581,0.4306893995552261
PAMUCUTAN,4789,2062,0.4305700563792023
CAWIT,7331,3145,0.4290001364070386
BARANGAY ZONE IV (POB.),1914,819,0.4278996865203762
DULIAN (UPPER BUNGUIAO),2274,953,0.41908531222515394
BUNGUIAO,7825,3270,0.41789137380191693
MERCEDES,11151,4514,0.40480674378979464
BARANGAY ZONE II (POB.),1309,528,0.40336134453781514
LANZONES,2929,1175,0.401160805735746
CAPISAN,1374,551,0.40101892285298396
CALARIAN,13482,5390,0.39979231568016615
TALON-TALON,20701,8043,0.3885319549780204
CABALUAY,4883,1889,0.386852344869957
PASOBOLONG,3477,1316,0.37848720161058386
LUMAYANG,1769,657,0.3713962690785755
TIGBALABAG,1447,532,0.3676572218382861
MAMPANG,24817,8775,0.3535882661079099
DULIAN (UPPER PASONANCA),1113,391,0.35130278526504943
SAN ROQUE,15875,5541,0.34903937007874014
CAMINO NUEVO,4861,1694,0.34848796543921
TULUNGATUNG,7800,2711,0.3475641025641026
ZAMBOWOOD,7458,2546,0.34137838562617323
QUINIPUT,3702,1261,0.34062668827660725
LUMBANGAN,4243,1425,0.335847277869432
AYALA,17192,5737,0.3337017217310377
MAASIN,6789,2244,0.3305346884666372
VICTORIA,2596,833,0.3208782742681048
TUGBUNGAN,18540,5852,0.3156418554476807
GUISAO,2534,796,0.31412786108918705
SAN JOSE CAWA-CAWA,1106,346,0.3128390596745027
SANTA CATALINA,12138,3792,0.31240731586752346
TUMAGA,11835,3682,0.3111111111111111
SANTA BARBARA,7822,2431,0.31079007926361546
PASONANCA,12421,3753,0.3021495853795991
CACAO,1165,350,0.30042918454935624
SAN JOSE GUSU,8037,2410,0.29986313300982953
CULIANAN,5119,1501,0.2932213322914632
DIVISORIA,4595,1330,0.28944504896626766
SANTO NIÃ‘O,1721,495,0.2876234747239977
BARANGAY ZONE I (POB.),1183,338,0.2857142857142857
CABATANGAN,8102,2299,0.2837570970130832
MALAGUTAY,3765,1040,0.27622841965471445
BALIWASAN,10753,2879,0.2677392355621687
CANELAR,2835,745,0.26278659611992944
LUNZURAN,7610,1961,0.25768725361366623
SANTA MARIA,6004,1537,0.2559960026648901
TALISAYAN,5211,1299,0.2492803684513529
BOALAN,7439,1772,0.2382040596854416
BARANGAY ZONE III (POB.),535,126,0.23551401869158878
TETUAN,9402,2048,0.21782599446926185
PUTIK,8148,1746,0.21428571428571427
GUIWAN,3849,674,0.17511041829046506
TOTAL,644403,274795,0.426433458565525
