Barangay,Total Number of Poor Employed,Managers,%,Gov't and Special Interest Organization Officials,%.1,Professionals,%.2,Technicians,%.3,Clerks,%.4,Service and Sales Workers,%.5,"Farm Workers, Foresters and Fisher Folks",%.6,Crafts and Related Workers,%.7,Plants and Machine Operators and Assemblers,%.8,Laborers and Unskilled Workers,%.9
ARENA BLANCO,1819,0,0.0,2,0.0010995052226498076,4,0.0021990104452996153,7,0.0038482682792743265,4,0.0021990104452996153,343,0.188565145684442,701,0.38537658053875756,97,0.05332600329851567,128,0.07036833424958769,533,0.2930181418361737
AYALA,1217,0,0.0,10,0.008216926869350863,2,0.0016433853738701725,17,0.013968775677896467,3,0.0024650780608052587,176,0.14461791290057519,180,0.14790468364831552,107,0.08792111750205424,160,0.1314708299096138,562,0.4617912900575185
BALIWASAN,534,3,0.0056179775280898875,0,0.0,3,0.0056179775280898875,6,0.011235955056179775,2,0.003745318352059925,128,0.2397003745318352,38,0.07116104868913857,76,0.14232209737827714,56,0.10486891385767791,222,0.4157303370786517
BALUNO,455,0,0.0,1,0.002197802197802198,2,0.004395604395604396,3,0.006593406593406593,0,0.0,21,0.046153846153846156,233,0.512087912087912,45,0.0989010989010989,20,0.04395604395604396,130,0.2857142857142857
BARANGAY ZONE I (POB.),65,0,0.0,1,0.015384615384615385,0,0.0,5,0.07692307692307693,1,0.015384615384615385,13,0.2,4,0.06153846153846154,7,0.1076923076923077,4,0.06153846153846154,30,0.46153846153846156
BARANGAY ZONE II (POB.),82,0,0.0,1,0.012195121951219513,0,0.0,6,0.07317073170731707,0,0.0,20,0.24390243902439024,1,0.012195121951219513,4,0.04878048780487805,8,0.0975609756097561,42,0.5121951219512195
BARANGAY ZONE III (POB.),24,0,0.0,1,0.041666666666666664,0,0.0,0,0.0,0,0.0,6,0.25,2,0.08333333333333333,2,0.08333333333333333,7,0.2916666666666667,6,0.25
BARANGAY ZONE IV (POB.),96,1,0.010416666666666666,1,0.010416666666666666,1,0.010416666666666666,0,0.0,0,0.0,21,0.21875,3,0.03125,11,0.11458333333333333,26,0.2708333333333333,32,0.3333333333333333
BOALAN,341,0,0.0,0,0.0,1,0.002932551319648094,5,0.01466275659824047,1,0.002932551319648094,39,0.11436950146627566,30,0.08797653958944282,65,0.1906158357771261,49,0.1436950146627566,151,0.44281524926686217
BOLONG,637,0,0.0,0,0.0,1,0.0015698587127158557,4,0.006279434850863423,0,0.0,36,0.0565149136577708,382,0.5996860282574569,31,0.04866562009419152,40,0.06279434850863422,143,0.22448979591836735
BUENAVISTA,692,1,0.001445086705202312,1,0.001445086705202312,1,0.001445086705202312,2,0.002890173410404624,2,0.002890173410404624,55,0.07947976878612717,250,0.36127167630057805,56,0.08092485549132948,43,0.06213872832369942,281,0.4060693641618497
BUNGUIAO,704,1,0.0014204545454545455,1,0.0014204545454545455,0,0.0,6,0.008522727272727272,2,0.002840909090909091,45,0.06392045454545454,382,0.5426136363636364,30,0.04261363636363636,42,0.05965909090909091,195,0.27698863636363635
BUSAY (SACOL ISLAND),242,3,0.012396694214876033,2,0.008264462809917356,0,0.0,1,0.004132231404958678,0,0.0,16,0.06611570247933884,140,0.5785123966942148,7,0.028925619834710745,8,0.03305785123966942,65,0.26859504132231404
CABALUAY,378,2,0.005291005291005291,0,0.0,1,0.0026455026455026454,0,0.0,0,0.0,53,0.1402116402116402,152,0.4021164021164021,26,0.06878306878306878,19,0.05026455026455026,125,0.3306878306878307
CABATANGAN,511,0,0.0,1,0.0019569471624266144,1,0.0019569471624266144,3,0.005870841487279843,2,0.003913894324853229,75,0.14677103718199608,40,0.07827788649706457,61,0.11937377690802348,68,0.13307240704500978,260,0.5088062622309197
CACAO,70,0,0.0,2,0.02857142857142857,0,0.0,1,0.014285714285714285,1,0.014285714285714285,4,0.05714285714285714,19,0.2714285714285714,10,0.14285714285714285,3,0.04285714285714286,30,0.42857142857142855
CALABASA,301,2,0.006644518272425249,1,0.0033222591362126247,0,0.0,0,0.0,1,0.0033222591362126247,5,0.016611295681063124,124,0.4119601328903654,14,0.046511627906976744,9,0.029900332225913623,145,0.48172757475083056
CALARIAN,1097,6,0.0054694621695533276,2,0.0018231540565177757,3,0.0027347310847766638,10,0.009115770282588878,4,0.0036463081130355514,189,0.1722880583409298,67,0.061075660893345485,156,0.1422060164083865,121,0.11030082041932543,539,0.49134001823154055
CAMINO NUEVO,408,1,0.0024509803921568627,1,0.0024509803921568627,2,0.004901960784313725,4,0.00980392156862745,4,0.00980392156862745,110,0.2696078431372549,8,0.0196078431372549,50,0.12254901960784313,22,0.05392156862745098,206,0.5049019607843137
CAMPO ISLAM,617,3,0.004862236628849271,4,0.006482982171799027,1,0.0016207455429497568,10,0.01620745542949757,3,0.004862236628849271,90,0.1458670988654781,67,0.1085899513776337,116,0.1880064829821718,73,0.11831442463533225,250,0.4051863857374392
CANELAR,175,1,0.005714285714285714,0,0.0,3,0.017142857142857144,2,0.011428571428571429,3,0.017142857142857144,42,0.24,6,0.03428571428571429,26,0.14857142857142858,18,0.10285714285714286,74,0.4228571428571429
CAPISAN,131,0,0.0,1,0.007633587786259542,0,0.0,0,0.0,0,0.0,16,0.12213740458015267,56,0.42748091603053434,10,0.07633587786259542,8,0.061068702290076333,40,0.3053435114503817
CAWIT,673,1,0.0014858841010401188,0,0.0,5,0.007429420505200594,3,0.004457652303120356,4,0.005943536404160475,84,0.12481426448736999,150,0.22288261515601784,93,0.13818722139673106,71,0.10549777117384844,262,0.38930163447251115
CULIANAN,301,0,0.0,1,0.0033222591362126247,0,0.0,3,0.009966777408637873,1,0.0033222591362126247,39,0.12956810631229235,42,0.13953488372093023,35,0.11627906976744186,42,0.13953488372093023,138,0.4584717607973422
CURUAN,1053,6,0.005698005698005698,0,0.0,1,0.000949667616334283,0,0.0,1,0.000949667616334283,83,0.0788224121557455,320,0.30389363722697055,57,0.05413105413105413,71,0.06742640075973409,514,0.4881291547958215
DITA,226,1,0.004424778761061947,2,0.008849557522123894,0,0.0,2,0.008849557522123894,0,0.0,12,0.05309734513274336,127,0.5619469026548672,9,0.03982300884955752,5,0.022123893805309734,68,0.3008849557522124
DIVISORIA,272,0,0.0,0,0.0,0,0.0,1,0.003676470588235294,2,0.007352941176470588,47,0.17279411764705882,14,0.051470588235294115,43,0.15808823529411764,60,0.22058823529411764,105,0.3860294117647059
DULIAN (UPPER BUNGUIAO),199,0,0.0,1,0.005025125628140704,0,0.0,1,0.005025125628140704,0,0.0,7,0.035175879396984924,136,0.6834170854271356,2,0.010050251256281407,9,0.04522613065326633,43,0.21608040201005024
DULIAN (UPPER PASONANCA),91,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,0.13186813186813187,47,0.5164835164835165,4,0.04395604395604396,7,0.07692307692307693,21,0.23076923076923078
GUISAO,165,0,0.0,0,0.0,0,0.0,1,0.006060606060606061,1,0.006060606060606061,24,0.14545454545454545,38,0.23030303030303031,19,0.11515151515151516,25,0.15151515151515152,57,0.34545454545454546
GUIWAN,132,0,0.0,0,0.0,0,0.0,3,0.022727272727272728,1,0.007575757575757576,16,0.12121212121212122,5,0.03787878787878788,14,0.10606060606060606,20,0.15151515151515152,73,0.553030303030303
KASANYANGAN,2861,1,0.0003495281370150297,5,0.0017476406850751485,10,0.003495281370150297,22,0.007689619014330654,9,0.0031457532331352674,575,0.2009786787836421,401,0.14016078294302692,404,0.141209367354072,231,0.08074099965047186,1203,0.42048234882908075
LA PAZ,987,0,0.0,7,0.0070921985815602835,1,0.0010131712259371835,5,0.005065856129685917,1,0.0010131712259371835,56,0.05673758865248227,589,0.596757852077001,46,0.04660587639311044,49,0.04964539007092199,233,0.23606889564336372
LABUAN,1443,1,0.000693000693000693,15,0.010395010395010396,4,0.002772002772002772,4,0.002772002772002772,4,0.002772002772002772,144,0.0997920997920998,708,0.49064449064449067,95,0.06583506583506583,88,0.060984060984060985,380,0.26334026334026334
LAMISAHAN,259,0,0.0,1,0.003861003861003861,0,0.0,0,0.0,0,0.0,7,0.02702702702702703,177,0.6833976833976834,12,0.04633204633204633,17,0.06563706563706563,45,0.17374517374517376
LANDANG GUA,492,1,0.0020325203252032522,2,0.0040650406504065045,0,0.0,3,0.006097560975609756,0,0.0,33,0.06707317073170732,369,0.75,9,0.018292682926829267,8,0.016260162601626018,67,0.13617886178861788
LANDANG LAUM,216,1,0.004629629629629629,1,0.004629629629629629,0,0.0,1,0.004629629629629629,0,0.0,8,0.037037037037037035,151,0.6990740740740741,5,0.023148148148148147,2,0.009259259259259259,47,0.2175925925925926
LANZONES,248,0,0.0,0,0.0,0,0.0,2,0.008064516129032258,0,0.0,24,0.0967741935483871,74,0.29838709677419356,19,0.07661290322580645,32,0.12903225806451613,97,0.3911290322580645
LAPAKAN,127,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.07086614173228346,73,0.5748031496062992,4,0.031496062992125984,5,0.03937007874015748,36,0.28346456692913385
LATUAN (CURUAN),363,2,0.005509641873278237,0,0.0,1,0.0027548209366391185,0,0.0,0,0.0,11,0.030303030303030304,151,0.41597796143250687,7,0.01928374655647383,13,0.03581267217630854,178,0.4903581267217631
LICOMO,682,13,0.01906158357771261,1,0.001466275659824047,0,0.0,1,0.001466275659824047,3,0.004398826979472141,26,0.03812316715542522,341,0.5,20,0.02932551319648094,17,0.024926686217008796,260,0.3812316715542522
LIMAONG,475,7,0.014736842105263158,0,0.0,0,0.0,1,0.002105263157894737,0,0.0,8,0.016842105263157894,284,0.5978947368421053,11,0.023157894736842106,7,0.014736842105263158,157,0.33052631578947367
LIMPAPA,795,2,0.0025157232704402514,3,0.0037735849056603774,0,0.0,2,0.0025157232704402514,2,0.0025157232704402514,31,0.0389937106918239,511,0.6427672955974842,30,0.03773584905660377,39,0.04905660377358491,175,0.22012578616352202
LUBIGAN,325,0,0.0,1,0.003076923076923077,1,0.003076923076923077,1,0.003076923076923077,0,0.0,18,0.055384615384615386,124,0.38153846153846155,9,0.027692307692307693,10,0.03076923076923077,161,0.49538461538461537
LUMAYANG,151,0,0.0,1,0.006622516556291391,0,0.0,0,0.0,0,0.0,12,0.07947019867549669,74,0.4900662251655629,8,0.052980132450331126,18,0.11920529801324503,38,0.25165562913907286
LUMBANGAN,306,0,0.0,0,0.0,0,0.0,2,0.006535947712418301,1,0.0032679738562091504,25,0.08169934640522876,38,0.12418300653594772,29,0.09477124183006536,34,0.1111111111111111,177,0.5784313725490197
LUNZURAN,409,3,0.007334963325183374,0,0.0,0,0.0,4,0.009779951100244499,2,0.004889975550122249,59,0.14425427872860636,22,0.05378973105134474,83,0.20293398533007334,64,0.15647921760391198,172,0.42053789731051344
MAASIN,503,0,0.0,3,0.005964214711729622,0,0.0,6,0.011928429423459244,4,0.007952286282306162,57,0.11332007952286283,157,0.3121272365805169,77,0.15308151093439365,41,0.08151093439363817,158,0.31411530815109345
MALAGUTAY,235,0,0.0,0,0.0,0,0.0,2,0.00851063829787234,3,0.01276595744680851,32,0.13617021276595745,21,0.08936170212765958,30,0.1276595744680851,28,0.11914893617021277,119,0.5063829787234042
MAMPANG,1687,4,0.0023710729104919974,3,0.0017783046828689982,6,0.0035566093657379964,15,0.00889152341434499,12,0.007113218731475993,340,0.2015411973918198,135,0.08002371072910491,278,0.16478956727919383,249,0.14759928867812686,645,0.3823355068168346
MANALIPA,420,3,0.007142857142857143,3,0.007142857142857143,0,0.0,0,0.0,0,0.0,35,0.08333333333333333,342,0.8142857142857143,3,0.007142857142857143,3,0.007142857142857143,31,0.07380952380952381
MANGUSU,521,2,0.003838771593090211,2,0.003838771593090211,2,0.003838771593090211,1,0.0019193857965451055,3,0.005758157389635317,23,0.044145873320537425,143,0.2744721689059501,25,0.04798464491362764,37,0.0710172744721689,283,0.5431861804222649
MANICAHAN,837,0,0.0,0,0.0,0,0.0,4,0.0047789725209080045,1,0.0011947431302270011,90,0.10752688172043011,401,0.47909199522102747,69,0.08243727598566308,47,0.056152927120669056,225,0.26881720430107525
MARIKI,545,0,0.0,0,0.0,4,0.007339449541284404,12,0.022018348623853212,2,0.003669724770642202,130,0.23853211009174313,116,0.21284403669724772,79,0.14495412844036698,39,0.07155963302752294,163,0.29908256880733947
MERCEDES,929,1,0.001076426264800861,1,0.001076426264800861,0,0.0,7,0.007534983853606028,4,0.004305705059203444,142,0.15285252960172227,249,0.2680301399354144,76,0.08180839612486544,101,0.10871905274488698,348,0.3745963401506997
MUTI,424,1,0.0023584905660377358,2,0.0047169811320754715,0,0.0,1,0.0023584905660377358,0,0.0,12,0.02830188679245283,242,0.5707547169811321,12,0.02830188679245283,14,0.0330188679245283,140,0.330188679245283
PAMUCUTAN,496,0,0.0,0,0.0,0,0.0,2,0.004032258064516129,1,0.0020161290322580645,48,0.0967741935483871,193,0.38911290322580644,28,0.056451612903225805,45,0.0907258064516129,179,0.36088709677419356
PANGAPUYAN,130,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.038461538461538464,113,0.8692307692307693,1,0.007692307692307693,0,0.0,11,0.08461538461538462
PANUBIGAN,197,1,0.005076142131979695,1,0.005076142131979695,0,0.0,0,0.0,0,0.0,11,0.05583756345177665,124,0.6294416243654822,5,0.025380710659898477,5,0.025380710659898477,50,0.25380710659898476
PASILMANTA (SACOL ISLAND),226,7,0.030973451327433628,0,0.0,0,0.0,0,0.0,0,0.0,18,0.07964601769911504,158,0.6991150442477876,9,0.03982300884955752,5,0.022123893805309734,29,0.12831858407079647
PASOBOLONG,267,0,0.0,1,0.003745318352059925,0,0.0,2,0.00749063670411985,2,0.00749063670411985,53,0.19850187265917604,18,0.06741573033707865,25,0.09363295880149813,46,0.17228464419475656,120,0.449438202247191
PASONANCA,874,0,0.0,0,0.0,2,0.002288329519450801,15,0.017162471395881007,9,0.010297482837528604,169,0.19336384439359267,59,0.06750572082379863,118,0.13501144164759726,93,0.10640732265446225,409,0.4679633867276888
PATALON,993,1,0.0010070493454179255,7,0.007049345417925478,1,0.0010070493454179255,5,0.005035246727089627,0,0.0,69,0.06948640483383686,438,0.44108761329305135,62,0.06243705941591138,97,0.09768378650553877,313,0.3152064451158107
PUTIK,358,1,0.002793296089385475,1,0.002793296089385475,1,0.002793296089385475,10,0.027932960893854747,2,0.00558659217877095,43,0.12011173184357542,16,0.0446927374301676,47,0.13128491620111732,51,0.1424581005586592,186,0.5195530726256983
QUINIPUT,278,0,0.0,0,0.0,0,0.0,2,0.007194244604316547,0,0.0,16,0.05755395683453238,74,0.26618705035971224,18,0.06474820143884892,15,0.0539568345323741,153,0.5503597122302158
RECODO,1529,2,0.0013080444735120995,7,0.004578155657292348,4,0.002616088947024199,12,0.007848266841072597,8,0.005232177894048398,269,0.17593198168737736,355,0.23217789404839764,120,0.07848266841072596,174,0.11379986919555266,578,0.3780248528449967
RIO HONDO,911,2,0.0021953896816684962,0,0.0,1,0.0010976948408342481,3,0.003293084522502744,3,0.003293084522502744,236,0.25905598243688255,278,0.305159165751921,92,0.10098792535675083,47,0.05159165751920966,249,0.27332601536772777
SALAAN,388,1,0.002577319587628866,0,0.0,0,0.0,9,0.023195876288659795,1,0.002577319587628866,21,0.05412371134020619,172,0.44329896907216493,15,0.03865979381443299,26,0.06701030927835051,143,0.36855670103092786
SAN JOSE CAWA-CAWA,73,1,0.0136986301369863,0,0.0,0,0.0,0,0.0,2,0.0273972602739726,16,0.2191780821917808,3,0.0410958904109589,6,0.0821917808219178,11,0.1506849315068493,34,0.4657534246575342
SAN JOSE GUSU,419,3,0.007159904534606206,1,0.002386634844868735,2,0.00477326968973747,10,0.02386634844868735,6,0.014319809069212411,62,0.14797136038186157,31,0.07398568019093078,51,0.12171837708830549,72,0.1718377088305489,181,0.431980906921241
SAN ROQUE,1173,3,0.0025575447570332483,1,0.0008525149190110827,1,0.0008525149190110827,6,0.005115089514066497,9,0.0076726342710997444,200,0.17050298380221654,67,0.05711849957374254,163,0.13895993179880647,138,0.11764705882352941,585,0.49872122762148335
SANGALI,2128,4,0.0018796992481203006,3,0.0014097744360902255,5,0.002349624060150376,18,0.008458646616541353,2,0.0009398496240601503,292,0.13721804511278196,699,0.32847744360902253,166,0.07800751879699248,88,0.041353383458646614,851,0.399906015037594
SANTA BARBARA,415,0,0.0,1,0.0024096385542168677,3,0.007228915662650603,6,0.014457831325301205,3,0.007228915662650603,102,0.2457831325301205,41,0.09879518072289156,45,0.10843373493975904,65,0.1566265060240964,149,0.35903614457831323
SANTA CATALINA,738,1,0.0013550135501355014,4,0.005420054200542005,5,0.006775067750677507,10,0.013550135501355014,9,0.012195121951219513,203,0.2750677506775068,18,0.024390243902439025,94,0.12737127371273713,86,0.11653116531165311,308,0.4173441734417344
SANTA MARIA,356,0,0.0,2,0.0056179775280898875,0,0.0,5,0.014044943820224719,2,0.0056179775280898875,85,0.23876404494382023,11,0.03089887640449438,34,0.09550561797752809,42,0.11797752808988764,175,0.49157303370786515
SANTO NIÃ‘O,80,0,0.0,0,0.0,0,0.0,2,0.025,2,0.025,17,0.2125,3,0.0375,7,0.0875,7,0.0875,42,0.525
SIBULAO (CARUAN),483,0,0.0,0,0.0,0,0.0,2,0.004140786749482402,0,0.0,8,0.016563146997929608,255,0.5279503105590062,8,0.016563146997929608,14,0.028985507246376812,196,0.4057971014492754
SINUBUNG,344,1,0.0029069767441860465,2,0.005813953488372093,0,0.0,5,0.014534883720930232,0,0.0,28,0.08139534883720931,113,0.32848837209302323,25,0.07267441860465117,20,0.05813953488372093,150,0.436046511627907
SINUNOC,1657,1,0.0006035003017501509,0,0.0,7,0.004224502112251056,9,0.005431502715751358,9,0.005431502715751358,242,0.1460470730235365,234,0.1412190706095353,155,0.09354254677127338,151,0.09112854556427279,849,0.512371756185878
TAGASILAY,314,0,0.0,0,0.0,0,0.0,1,0.0031847133757961785,0,0.0,15,0.04777070063694268,81,0.25796178343949044,11,0.03503184713375796,10,0.03184713375796178,196,0.6242038216560509
TAGUITI,184,0,0.0,1,0.005434782608695652,1,0.005434782608695652,0,0.0,0,0.0,6,0.03260869565217391,112,0.6086956521739131,5,0.02717391304347826,8,0.043478260869565216,51,0.27717391304347827
TALABAAN,440,0,0.0,4,0.00909090909090909,1,0.0022727272727272726,1,0.0022727272727272726,1,0.0022727272727272726,39,0.08863636363636364,166,0.37727272727272726,22,0.05,35,0.07954545454545454,171,0.3886363636363636
