system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,x_idx,y_idx,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt,grid_cell_id,has_target_data,exclusion_reason
382_13,0.68269706,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1,28_6,0.5271,-0.5057675,1.24,4214.714524822698,0.741357,1748.758211672306,1366.8943607586957,320.0,0.23187147,34.27864502,28,6,0,0,0,0,0,0,0,0,0,0,,,,,122.15606718344816,6.913074279740627,POINT (122.15606718344816 6.913074279740627),28_6,False,no_barangay_or_poverty
441_4,-0.15439856,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,3,28_7,0.4385,-0.1459854,3.1399999,4596.645250787719,0.069896504,1748.758211672306,1419.6164369755738,643.0,0.677305,35.95347482,28,7,0,0,0,0,0,0,0,0,0,0,,,,,122.15382139523786,6.922057432581823,POINT (122.15382139523786 6.922057432581823),28_7,False,no_barangay_or_poverty
500_11,0.47797716,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,3,28_8,0.4852,-0.32456142,0.845,4693.297554766297,11.912582,1748.758211672306,1850.57329812062,480.0,0.5192344,34.98959318000004,28,8,0,0,0,0,0,0,0,0,0,0,,,,,122.15382139523786,6.93104058542302,POINT (122.15382139523786 6.93104058542302),28_8,False,no_barangay_or_poverty
596_4,0.07350149,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,6,6_10,0.3787,0.037217222,4.9700003,4468.183923797211,51.279102,1874.621692419052,1886.4639320386725,854.0,0.7444652,31.07937830000003,6,10,0,0,0,0,0,0,0,0,0,0,,,,,121.95394624452126,6.953498467526003,POINT (121.95394624452126 6.953498467526003),6_10,False,no_barangay_or_poverty
597_6,0.06140963,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,3,7_10,0.5033500000000001,0.049820397,12.469999,4839.306762683162,109.86664,1874.621692419052,1694.8005557204162,1345.0,0.47821593,41.51117534000002,7,10,0,0,0,0,0,0,0,0,0,0,,,,,121.96742097378308,6.953498467526003,POINT (121.96742097378308 6.953498467526003),7_10,False,no_barangay_or_poverty
598_8,-0.056811914,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,15,8_10,0.6631,-0.147651,5.2200003,4357.221628590194,38.21553,1874.621692419052,1500.2185165013352,479.0,3.3240924,36.3943994,8,10,0,0,0,0,0,0,0,0,0,0,,,,,121.97864991483452,6.951252679315708,POINT (121.97864991483453 6.951252679315708),8_10,False,no_barangay_or_poverty
631_0,0.10204082,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,9,41_10,0.7427,-0.25760457,0.25,3612.2039529198337,0.573898,1898.0711461752653,0.0,1078.0,2.962932,31.97148152,41,10,0,0,0,0,0,0,0,0,0,0,,,,,122.27060238217342,6.955744255736306,POINT (122.27060238217342 6.955744255736306),41_10,False,no_barangay_or_poverty
653_2,-0.102608696,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,10,4_11,0.4752,-0.07388137,1.7750001,4237.348473245815,34.689644,1722.7079914361238,1280.434634153816,317.0,1.4003683,27.73655474000003,4,11,0,0,0,0,0,0,0,0,0,0,,,,,121.94047151525945,6.9624816203672,POINT (121.94047151525945 6.9624816203672),4_11,False,no_barangay_or_poverty
727_0,0.70497566,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,263,19_12,0.8205,-0.31683376,0.485,4572.062627711278,0.0564535,1904.0162175446749,1653.296509221622,545.5,8.80979,29.633555839999985,19,12,0,0,0,0,0,0,0,0,0,0,PASONANCA NATURAL PARK UNDER JURISDICTION OF ZAMBOANGA CITY,,,141.3155496426694,122.07521880787738,6.973710561418692,POINT (122.07521880787738 6.973710561418692),19_12,False,no_poverty_rate
750_1,-0.08821349,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,15,42_12,0.7369,-0.21902874,0.255,4635.331776466936,8.283977,1898.0711461752653,0.0,734.0,3.066278,30.727322240000035,42,12,0,0,0,0,0,0,0,0,0,0,,,,,122.28183132322488,6.973710561418692,POINT (122.28183132322488 6.973710561418692),42_12,False,no_barangay_or_poverty
