cell_id,filepath,centroid_lon,centroid_lat,processing
cell_0000_0021,output\cnn_reuse_1km_2024\images\cell_0000_0021.png,121.90209783400798,7.052218341627173,existing
cell_0000_0022,output\cnn_reuse_1km_2024\images\cell_0000_0022.png,121.90207651902136,7.061262612594819,existing
cell_0000_0023,output\cnn_reuse_1km_2024\images\cell_0000_0023.png,121.90205517602581,7.070306880000095,existing
cell_0000_0024,output\cnn_reuse_1km_2024\images\cell_0000_0024.png,121.90203380501863,7.079351143838532,existing
cell_0000_0025,output\cnn_reuse_1km_2024\images\cell_0000_0025.png,121.90201240599717,7.088395404105661,existing
cell_0000_0026,output\cnn_reuse_1km_2024\images\cell_0000_0026.png,121.90199097895875,7.097439660797003,existing
cell_0000_0027,output\cnn_reuse_1km_2024\images\cell_0000_0027.png,121.90196952390062,7.106483913908094,existing
cell_0000_0028,output\cnn_reuse_1km_2024\images\cell_0000_0028.png,121.90194804082023,7.115528163434453,existing
cell_0000_0029,output\cnn_reuse_1km_2024\images\cell_0000_0029.png,121.90192652971473,7.1245724093716225,existing
cell_0000_0030,output\cnn_reuse_1km_2024\images\cell_0000_0030.png,121.9019049905815,7.133616651715114,existing
cell_0000_0031,output\cnn_reuse_1km_2024\images\cell_0000_0031.png,121.90188342341784,7.142660890460473,existing
cell_0000_0032,output\cnn_reuse_1km_2024\images\cell_0000_0032.png,121.90186182822103,7.151705125603216,existing
cell_0001_0018,output\cnn_reuse_1km_2024\images\cell_0001_0018.png,121.91121422268708,7.025106617530358,existing
cell_0001_0019,output\cnn_reuse_1km_2024\images\cell_0001_0019.png,121.91119316669402,7.034150926599993,existing
cell_0001_0020,output\cnn_reuse_1km_2024\images\cell_0001_0020.png,121.91117208293086,7.0431952321217,existing
cell_0001_0021,output\cnn_reuse_1km_2024\images\cell_0001_0021.png,121.91115097139487,7.052239534091009,existing
cell_0001_0022,output\cnn_reuse_1km_2024\images\cell_0001_0022.png,121.91112983208345,7.061283832503443,existing
cell_0001_0023,output\cnn_reuse_1km_2024\images\cell_0001_0023.png,121.91110866499396,7.070328127354532,existing
cell_0001_0024,output\cnn_reuse_1km_2024\images\cell_0001_0024.png,121.91108747012366,7.079372418639805,existing
cell_0001_0025,output\cnn_reuse_1km_2024\images\cell_0001_0025.png,121.91106624747003,7.088416706354793,existing
cell_0001_0026,output\cnn_reuse_1km_2024\images\cell_0001_0026.png,121.91104499703029,7.09746099049502,existing
cell_0001_0027,output\cnn_reuse_1km_2024\images\cell_0001_0027.png,121.91102371880181,7.106505271056015,existing
cell_0001_0028,output\cnn_reuse_1km_2024\images\cell_0001_0028.png,121.91100241278195,7.115549548033316,existing
cell_0001_0029,output\cnn_reuse_1km_2024\images\cell_0001_0029.png,121.91098107896804,7.124593821422448,existing
cell_0001_0030,output\cnn_reuse_1km_2024\images\cell_0001_0030.png,121.91095971735734,7.133638091218942,existing
cell_0001_0031,output\cnn_reuse_1km_2024\images\cell_0001_0031.png,121.91093832794725,7.142682357418323,existing
cell_0001_0032,output\cnn_reuse_1km_2024\images\cell_0001_0032.png,121.91091691073504,7.151726620016132,existing
cell_0002_0014,output\cnn_reuse_1km_2024\images\cell_0002_0014.png,121.92035011088949,6.988950172440014,existing
cell_0002_0015,output\cnn_reuse_1km_2024\images\cell_0002_0015.png,121.9203293400133,6.9979945228672324,existing
cell_0002_0016,output\cnn_reuse_1km_2024\images\cell_0002_0016.png,121.92030854160815,7.00703886976543,existing
cell_0002_0017,output\cnn_reuse_1km_2024\images\cell_0002_0017.png,121.92028771567148,7.016083213130114,existing
cell_0002_0018,output\cnn_reuse_1km_2024\images\cell_0002_0018.png,121.92026686220069,7.025127552956828,existing
cell_0002_0019,output\cnn_reuse_1km_2024\images\cell_0002_0019.png,121.92024598119308,7.034171889241091,existing
cell_0002_0020,output\cnn_reuse_1km_2024\images\cell_0002_0020.png,121.92022507264615,7.043216221978442,existing
cell_0002_0021,output\cnn_reuse_1km_2024\images\cell_0002_0021.png,121.9202041365572,7.052260551164392,existing
cell_0002_0022,output\cnn_reuse_1km_2024\images\cell_0002_0022.png,121.92018317292361,7.061304876794486,existing
cell_0002_0023,output\cnn_reuse_1km_2024\images\cell_0002_0023.png,121.92016218174282,7.070349198864248,existing
cell_0002_0024,output\cnn_reuse_1km_2024\images\cell_0002_0024.png,121.92014116301212,7.079393517369208,existing
cell_0002_0025,output\cnn_reuse_1km_2024\images\cell_0002_0025.png,121.92012011672894,7.088437832304892,existing
cell_0002_0026,output\cnn_reuse_1km_2024\images\cell_0002_0026.png,121.92009904289053,7.097482143666837,existing
cell_0002_0027,output\cnn_reuse_1km_2024\images\cell_0002_0027.png,121.92007794149436,7.106526451450572,existing
cell_0002_0028,output\cnn_reuse_1km_2024\images\cell_0002_0028.png,121.92005681253778,7.115570755651625,existing
cell_0002_0029,output\cnn_reuse_1km_2024\images\cell_0002_0029.png,121.92003565601807,7.124615056265528,existing
cell_0002_0030,output\cnn_reuse_1km_2024\images\cell_0002_0030.png,121.92001447193262,7.133659353287818,existing
cell_0002_0031,output\cnn_reuse_1km_2024\images\cell_0002_0031.png,121.91999326027877,7.142703646714019,existing
cell_0003_0012,output\cnn_reuse_1km_2024\images\cell_0003_0012.png,121.92944319203272,6.9708820598269545,existing
cell_0003_0013,output\cnn_reuse_1km_2024\images\cell_0003_0013.png,121.92942264981038,6.979926444280363,existing
cell_0003_0014,output\cnn_reuse_1km_2024\images\cell_0003_0014.png,121.92940208029499,6.9889708252146825,existing
cell_0003_0015,output\cnn_reuse_1km_2024\images\cell_0003_0015.png,121.92938148348394,6.998015202625437,existing
cell_0003_0016,output\cnn_reuse_1km_2024\images\cell_0003_0016.png,121.92936085937464,7.007059576508153,existing
cell_0003_0017,output\cnn_reuse_1km_2024\images\cell_0003_0017.png,121.92934020796454,7.016103946858366,existing
cell_0003_0018,output\cnn_reuse_1km_2024\images\cell_0003_0018.png,121.92931952925103,7.025148313671601,existing
cell_0003_0019,output\cnn_reuse_1km_2024\images\cell_0003_0019.png,121.92929882323152,7.034192676943385,existing
cell_0003_0020,output\cnn_reuse_1km_2024\images\cell_0003_0020.png,121.92927808990345,7.0432370366692485,existing
cell_0003_0021,output\cnn_reuse_1km_2024\images\cell_0003_0021.png,121.92925732926415,7.052281392844722,existing
cell_0003_0022,output\cnn_reuse_1km_2024\images\cell_0003_0022.png,121.92923654131107,7.061325745465341,existing
cell_0003_0023,output\cnn_reuse_1km_2024\images\cell_0003_0023.png,121.92921572604156,7.070370094526626,existing
cell_0003_0024,output\cnn_reuse_1km_2024\images\cell_0003_0024.png,121.92919488345309,7.079414440024118,existing
cell_0003_0025,output\cnn_reuse_1km_2024\images\cell_0003_0025.png,121.92917401354298,7.088458781953345,existing
cell_0003_0026,output\cnn_reuse_1km_2024\images\cell_0003_0026.png,121.9291531163086,7.097503120309835,existing
cell_0003_0027,output\cnn_reuse_1km_2024\images\cell_0003_0027.png,121.92913219174739,7.1065474550891246,existing
cell_0003_0028,output\cnn_reuse_1km_2024\images\cell_0003_0028.png,121.92911123985667,7.115591786286744,existing
cell_0003_0029,output\cnn_reuse_1km_2024\images\cell_0003_0029.png,121.92909026063387,7.124636113898229,existing
cell_0003_0030,output\cnn_reuse_1km_2024\images\cell_0003_0030.png,121.92906925407628,7.133680437919108,existing
cell_0003_0031,output\cnn_reuse_1km_2024\images\cell_0003_0031.png,121.92904822018136,7.142724758344918,existing
cell_0004_0011,output\cnn_reuse_1km_2024\images\cell_0004_0011.png,121.93851518284639,6.961858070564233,existing
cell_0004_0012,output\cnn_reuse_1km_2024\images\cell_0004_0012.png,121.93849484129035,6.970902485285767,existing
cell_0004_0013,output\cnn_reuse_1km_2024\images\cell_0004_0013.png,121.93847447267444,6.9799468964936615,existing
cell_0004_0014,output\cnn_reuse_1km_2024\images\cell_0004_0014.png,121.93845407699608,6.988991304183447,existing
cell_0004_0015,output\cnn_reuse_1km_2024\images\cell_0004_0015.png,121.9384336542528,6.998035708350654,existing
cell_0004_0016,output\cnn_reuse_1km_2024\images\cell_0004_0016.png,121.93841320444196,7.007080108990811,existing
cell_0004_0017,output\cnn_reuse_1km_2024\images\cell_0004_0017.png,121.938392727561,7.016124506099448,existing
cell_0004_0018,output\cnn_reuse_1km_2024\images\cell_0004_0018.png,121.9383722236074,7.0251688996720905,existing
cell_0004_0019,output\cnn_reuse_1km_2024\images\cell_0004_0019.png,121.93835169257856,7.034213289704285,existing
cell_0004_0020,output\cnn_reuse_1km_2024\images\cell_0004_0020.png,121.93833113447191,7.043257676191541,existing
cell_0004_0021,output\cnn_reuse_1km_2024\images\cell_0004_0021.png,121.93831054928488,7.05230205912941,existing
cell_0004_0022,output\cnn_reuse_1km_2024\images\cell_0004_0022.png,121.9382899370149,7.061346438513405,existing
cell_0004_0023,output\cnn_reuse_1km_2024\images\cell_0004_0023.png,121.93826929765935,7.070390814339075,existing
cell_0004_0024,output\cnn_reuse_1km_2024\images\cell_0004_0024.png,121.93824863121564,7.0794351866019385,existing
cell_0004_0025,output\cnn_reuse_1km_2024\images\cell_0004_0025.png,121.93822793768126,7.088479555297538,existing
cell_0004_0026,output\cnn_reuse_1km_2024\images\cell_0004_0026.png,121.93820721705353,7.097523920421403,existing
